"","V1"
"1",9
"2",8
"3",6
"4",6
"5",8
"6",4
"7",7
"8",8
"9",4
"10",3
"11",7
"12",2
"13",7
"14",9
"15",7
"16",7
"17",3
"18",3
"19",10
"20",2
"21",2
"22",4
"23",4
"24",9
"25",1
"26",3
"27",6
"28",3
"29",2
"30",7
"31",3
"32",1
"33",8
"34",1
"35",8
"36",7
"37",3
"38",8
"39",1
"40",3
"41",6
"42",6
"43",6
"44",6
"45",3
"46",3
"47",2
"48",3
"49",7
"50",7
"51",3
"52",4
"53",8
"54",6
"55",1
"56",3
"57",9
"58",10
"59",10
"60",10
"61",2
"62",9
"63",10
"64",3
"65",8
"66",3
"67",2
"68",3
"69",6
"70",5
"71",8
"72",10
"73",10
"74",1
"75",7
"76",4
"77",2
"78",1
"79",7
"80",8
"81",1
"82",1
"83",1
"84",4
"85",2
"86",4
"87",8
"88",6
"89",9
"90",10
"91",2
"92",4
"93",10
"94",9
"95",5
"96",6
"97",3
"98",3
"99",2
"100",1
"101",1
"102",2
"103",6
"104",1
"105",6
"106",10
"107",3
"108",9
"109",8
"110",9
"111",1
"112",5
"113",9
"114",2
"115",2
"116",5
"117",5
"118",8
"119",2
"120",9
"121",10
"122",3
"123",9
"124",6
"125",9
"126",3
"127",3
"128",5
"129",1
"130",7
"131",2
"132",3
"133",6
"134",3
"135",3
"136",2
"137",3
"138",4
"139",3
"140",4
"141",7
"142",9
"143",10
"144",1
"145",9
"146",2
"147",3
"148",10
"149",2
"150",1
"151",3
"152",4
"153",1
"154",8
"155",4
"156",8
"157",5
"158",4
"159",1
"160",5
"161",5
"162",4
"163",2
"164",6
"165",6
"166",8
"167",5
"168",3
"169",5
"170",10
"171",10
"172",9
"173",6
"174",6
"175",1
"176",8
"177",5
"178",6
"179",2
"180",6
"181",8
"182",2
"183",3
"184",2
"185",3
"186",3
"187",3
"188",1
"189",2
"190",3
"191",10
"192",9
"193",2
"194",8
"195",3
"196",6
"197",7
"198",3
"199",5
"200",4
"201",7
"202",2
"203",6
"204",5
"205",5
"206",4
"207",2
"208",3
"209",10
"210",5
"211",2
"212",6
"213",8
"214",7
"215",2
"216",10
"217",10
"218",9
"219",2
"220",3
"221",2
"222",2
"223",3
"224",3
"225",7
"226",1
"227",1
"228",9
"229",3
"230",5
"231",10
"232",3
"233",5
"234",5
"235",3
"236",8
"237",2
"238",5
"239",7
"240",2
"241",10
"242",1
"243",6
"244",3
"245",2
"246",2
"247",8
"248",5
"249",5
"250",3
"251",9
"252",2
"253",7
"254",3
"255",5
"256",2
"257",2
"258",2
"259",8
"260",3
"261",2
"262",6
"263",3
"264",9
"265",3
"266",5
"267",8
"268",5
"269",8
"270",6
"271",5
"272",4
"273",2
"274",3
"275",3
"276",3
"277",3
"278",3
"279",3
"280",2
"281",2
"282",3
"283",7
"284",2
"285",7
"286",7
"287",7
"288",9
