"","V1"
"1",6
"2",1
"3",9
"4",1
"5",3
"6",1
"7",8
"8",8
"9",6
"10",10
"11",5
"12",9
"13",2
"14",7
"15",2
"16",2
"17",9
"18",9
"19",4
"20",10
"21",7
"22",1
"23",6
"24",1
"25",1
"26",9
"27",7
"28",3
"29",4
"30",2
"31",3
"32",3
"33",1
"34",9
"35",10
"36",10
"37",4
"38",5
"39",6
"40",1
"41",5
"42",3
"43",1
"44",2
"45",7
"46",2
"47",10
"48",5
"49",5
"50",1
"51",1
"52",9
"53",9
"54",7
"55",5
"56",9
"57",5
"58",4
"59",1
"60",8
"61",7
"62",6
"63",2
"64",10
"65",3
"66",3
"67",3
"68",8
"69",10
"70",10
"71",6
"72",8
"73",10
"74",4
