,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
1,system,data,voltag,time,inform,circuit,unit,power,generat,control
2,control,protect,detect,signal,monitor,connect,communic,suppli,calcul,batteri
3,grid,oper,current,frequenc,mean,phase,devic,devic,amount,charg
4,provid,relay,output,input,oper,current,receiv,system,output,system
5,accid,electr,valu,predetermin,harmon,voltag,transmit,electr,load,storag
6,select,mean,convert,synchron,display,breaker,function,provid,valu,apparatus
7,cell,determin,control,high,compon,suppress,key,limit,measur,accord
8,stabil,termin,reactiv,flow,equip,side,network,solar,obtain,discharg
9,chang,digit,invert,adjust,devic,line,acquir,sourc,demand,base
10,plural,quantiti,switch,period,process,element,includ,effici,estim,devic
11,condit,transmiss,detector,start,store,transform,part,convers,energi,command
12,switch,provid,second,pressur,comput,short,meter,embodi,requir,convert
13,method,accid,type,speed,failur,direct,portion,least,consumpt,test
14,target,sampl,command,low,plural,block,second,base,differ,secondari
15,basi,analog,convers,rate,determin,measur,smart,plural,distribut,determin
16,model,imped,compens,chang,state,bus,authent,field,section,state
17,reduc,main,refer,devic,indic,input,via,commerci,capac,variat
18,oper,apparatus,self,extract,without,three,frame,fluctuat,perform,includ
19,section,number,direct,valv,databas,magnet,messag,interconnect,maximum,stop
20,fuel,differenti,excit,group,facil,provid,section,less,unit,invent
21,case,whether,effect,addit,match,second,server,ratio,base,present
22,configur,collect,gate,steam,server,ground,provid,within,respect,second
23,result,extern,activ,turbin,fault,singl,applic,path,predict,modul
24,correspond,filter,devic,drive,record,open,embodi,plant,threshold,request
25,independ,instal,altern,obtain,symbol,respect,modifi,natur,hydrogen,compris
26,bird,reliabl,base,pipe,screen,occur,specif,small,manag,teach
27,electrod,open,level,reactor,degre,waveform,possibl,curv,plan,basi
28,status,time,posit,contain,status,third,acquisit,loss,total,sensor
29,prevent,lock,drive,output,defect,close,crystal,associ,target,complet
30,stabl,express,instruct,outsid,mainten,resist,destin,build,creat,contribut
31,tabl,phasor,step,delay,client,parallel,master,consum,data,rang
32,waveform,distanc,angl,logic,pattern,altern,reduct,correspond,correct,correct
33,combin,trip,basi,rotat,sign,capacitor,transmiss,elev,enabl,embodi
34,stack,characterist,drop,exceed,board,prevent,encrypt,evalu,power,pcs
