A,abstract
2005,The invention relates to the address generation apparatus of the intelligent remote meter reading system and method thereof comprising the first MAC address generation unit converting into the hexadecimal number after doing the expression and produces the first MAC address of 48 bit each number comprising the Meter ID of the watthour meter to four bits (bit); the second MAC address generation unit adding the bit to the first MAC address and produces the second MAC address of 64 bit; and the first internet protocol address generation unit: producing the first internet protocol address which uses the number which is generated the number adds the bit of 64 bit as the interface identifier of the IPv6 it converts each number comprising the Meter ID into four bits (bit) after doing the expression into the hexadecimal number and the second IP address generation unit producing the second IP address using the second MAC address as the interface identifier of the Pv6.
2005,Apparatus for transmitting and receiving protocol for the intelligent remote meter reading system and the method for setting up the security-related information at the AMI protocol and securing the compatibility between AMI facilities are shown. Presented apparatus for transmitting and receiving protocol for the intelligent remote meter reading system set the security-related information to the reserved area of the AMI protocol which is the information outputted in the AMI facility generated to the basis. The fixed security-related information the AMI protocol is classified in the AMI protocol received from apparatus for transmitting and receiving protocol for the intelligent remote meter reading system installed at the other AMI facility into the basis into the security protocol or the non-secure protocol and data are processed.
2005,"The invention relates to the stability of the electrical power system network is the computation and malfunction expected apparatus and method and the apparatus include the malfunction supreme intelligence information display part indicating the malfunction supreme intelligence information including the standard object information receiver receiving the standard object information provided from the electrical power system network, the connection state stability, the connection time stability, the network connection state stability (Sstate) and the connecting network stability, the state value of the network, the final connecting network stability, and at least one or greater among the connection state stability (Sstate) and connection time stability (Stime). The connection state stability produces the connection state stability (Sstate) by using the standard object information is the output unit. The connection time stability produces the connection time stability (Stime) by using the standard object information is the output unit. The network connection state stability (Sstate) and the connecting network stability produces the final connecting network stability by using the connection time stability (Stime) is the routing information of the output unit and network."
2005,The present invention relates to the multi packet transmission system and its operation method for efficiently utilizing the resources of the transmission time interval between data acquisition unit (DCU) and watthour meter communications device in the smart grid intelligent telemetering (AMI) system phase. The data acquisition unit of the invention therefor comprises the request frame maker doing the function of collecting inspection data about the consumer according to the DLMS (Device Language Message Specification) protocol from the watthour meter and produces the request frame multiple request packets requesting inspection data about the consumer but are used to the basis and inspection data is the OBIS code standards the multiple request packets the request frame is the Ethernet header domain accepted in the PLC payload and the Ethernet frame including data area the communications unit transmitting the request frame to the watthour meter communications device about the watthour meter is comprised. And data area includes one or more request packets among the multiple request packets.
2005,The invention relates to each electrical phase the tap of the transformer and master discriminator performing the tap control of the transformer the tap control is requested in the transformer equipped with the tap for the voltage adjustment is controlled. And the mean value of the voltage is calculated. It is characterized to measure the voltage after tap is settled with the transformer and include the slave discriminator which determines the angular of the transformer matched with the angular of the electric installation by using the mean value after the tap control former of the transformer and control and standard deviation the mean value and standard deviation of the measured voltage after doing the calculation.
2005,"The invention relates to the reactive power apparatus for compensation control for securing the pure copper reactive power and method thereof, more particularly, to the reactive power apparatus for compensation control for being the coordination control and maintaining the busbar voltage of the electric power system the FACTS instrument (STATCOM, SVC etc) and phase modifying equipment (Sh.R, Sh.C) with the proper range and securing the pure copper reactive power at the same time and method thereof. For this, the reactive power apparatus for compensation control for securing the pure copper reactive power according to the present invention comprises the input unit which the value (Vlim) of the limit voltage, the value (Vref) of the reference voltage, and the status information of the substation facility within the value (Qrev) of the reactive power reserve and electric power substation are input; the operation unit which computes the control value for the phase modifying equipment (Sh.R, Sh.C) and FACTS instrument by using the value (Vlim) of the limit voltage, the value (Vref) of the reference voltage, and the status information of the substation facility within the value (Qrev) of the reactive power reserve and electric power substation; the FACTS instrument determining the trouble whether or not of the electric power system from the status information of the substation facility and is computed in the operation unit; and the controller which provides the control value for the phase modifying equipment and respective FACTS instrument to the normal time FACTS instrument and phase modifying equipment of the electric power system according to the crystallization of the determining unit and the determining unit which decides whether or not whether it will control the FACTS instrument and phase modifying equipment to the control value about the phase modifying equipment or not and in which the FACTS instrument stands alone in the malfunction of the electric power system and which is controlled."
2005,"In the present invention, disclosed are the microgrid system which can prevent the additional malfunction by recomputing the proper set value in which the breaker is operated with the processing apparatus at the system configuration change of the microgrid and the operation method. For example, the microgrid system according to the present invention the microgrid system and the operation method for including is initiated the memory unit sensing size and direction of the current and stores the component type of the facilities of the controller transmitting the input / order of opening and microgrid system inside and impedance information in the cut-out that allow the processing apparatus among the microgrid system as to the microgrid system, which includes the breaker connected to multiple distributed powers to each distributed power and is connected to the high position electric power system. And high position electric power system to pass through the processing apparatus the set value of the fault current in which the breaker has to operate is calculated the communications unit: status information collected from the communications unit is used transmits the set value of the fault current in the breaker the processing apparatus collects the on/OFF state of the cut-out: distributed power connecting the microgrid system and high position electric power system and separated according to the trouble occurrence whether or not of the high class electric power system, and the input / openness information of the cut-out on a real time basis. It is equipped"
2005,The remote meter reading system it collects inspection data by using the field client-server mode and improving the inspection of a meter successing yield of load profile data and for minimizing the collection time of inspection data and inspection of a meter data collecting method using the same are presented. The presented remote meter reading system includes the field client-server mode or data concentrator for transmitting with the polling method electronic measuring instrument: inspection data received from the electronic measuring instrument transmits inspection data which include load profile data the fixed the propagation delay time to the basis it randomizes with the field client-server mode it periodically checks load profile data and data acquisition unit for storing inspection data received from data concentrator.
2005,"The invention relates to for low voltage, for high pressure remote meter reading system and method, providing the low pressure of the low cost and for high pressure remote meter reading system and method it is efficient it is characterized to include the center data acquisition unit, which is transmitted for high pressure inspection data from for high pressure watthour meter and is transmitted for low voltage inspection data from one or more for low voltage data acquisition unit for low voltage remote checking server transmitted for low voltage inspection data through the wire/wireless communications from the center data acquisition unit and for high pressure remote checking server transmitted for high pressure inspection data through the wire/wireless communications from the center data acquisition unit as to the remote meter reading system through one or more for low voltage data acquisition unit and the binary CDMA (Code Division Multiple Access) communications transmitted for low voltage inspection data through the power line communications from for low voltage watthour meter."
2005,"Disclosed are the electric power equipment access management device and the method. The electric power equipment access management device according to the present invention comprises the transceiver, which receives the authentication information about the access subject from the certificate server it receives access requested data of the access subject to approach the electrical power system the rung information generator which produces the rung information it gives the rung to the access subject based on the authentication information, and the object electric power equipment information generator confirming the object electric power equipment of the electrical power system inside in which the access subject approaches based on access requested data and produces the object electric power equipment information and the rung information and the access crystallization information generator which maps the object electric power equipment information and in which the access subject produces the access decision information about whether or not in the object electric power equipment whether it is accessible or not."
