A,abstract
2005,"Door check device for a vehicle door, movable from a closed position in a door frame to a plurality of different open positions and held in the open positions, includes a strip connected to the door or door frame and a braking mechanism connected to the other of the door or door frame to provide relative movement between the strip and braking mechanism when the door is moved relative to the door frame. The braking mechanism engages with the strip at several locations and prevents movement of the strip when the braking mechanism engages therewith. The braking mechanism is preferably biased against the strip. The vehicle also includes an electrical system, e.g., a motor or solenoid, coupled to the braking mechanism to disengage it from the strip to permit relative movement between the strip and braking mechanism and thus movement of the door relative to the door frame."
2005,"A system and method of creating a pulse train signal of a pulse width modulator whose fundamental frequency is time-varying is disclosed. The electrical system includes a pulse width modulator which provides a pulse train signal. The system also includes a power source connected to the pulse width generator. The system further includes a binary counter having an input and a plurality of outputs, wherein the pulse train signal generated by the pulse width modulator is operatively coupled to the input of the binary counter. A plurality of resistors are operatively coupled to the plurality of outputs of the binary counter and operatively coupled to a node. A timing resistor is operatively coupled between a first voltage potential and the node, while a timing capacitor is operatively coupled between the node and a second voltage potential. The node is operatively coupled to an input of the pulse width modulator."
2005,"A power converter system advantageously employs a modular, bi-directionally symmetrical power converter assembly in a readily customizable configuration to interconnect a direct current power source to a three-phase alternating power grid. Connections external to the power converter assembly are selected to optimize the power converter system for a specific application, such as interconnecting a photovoltaic array to the three-phase electrical power grid. The electrical interconnections of various elements including isolation transformers, voltage sensors, and control switches are optimized to improve efficiency and reliability."
2005,"A hybrid use of a phase-locked-loop controller and a microprocessor-based controller to synchronize the phase angles of a three-phase AC power source, such as a static power converter, with those of a three-phase power grid. The phase-angle synchronization may enable the AC power source to be safely connected to the power grid to provide additional power capacity."
2005,"Disclosed is an apparatus for counting the rotation frequency of a numeral wheel of a meter to be used for a remote metering system. A light reflection tape is coated on one of low placed numeral wheels. A light sensor unit has an opaque case formed with first and second holes in which an infrared ray emitter and an infrared ray sensor are located, respectively. The light sensor unit is fixedly mounted on the ceiling of a rectangular shaped housing which is detachably coupled with a meter to cover the front of the meter. A portion of the housing over numeral wheels and a front plate of the meter is transparent. The transparent portion of the housing has an infrared ray rejection function to prevent infrared rays from entering into the housing. In place of employing such housing, a light shield may be used to shield a space between the light sensor unit and the light reflection tape coated numeral wheel from outer light. A microprocessor counts the rotation frequency of the light reflection tape coated numeral wheel by counting the number of output pulses from the infrared ray sensor to measure an amount of a supply, for example, gas used, A power supply portion using batteries supplies the light sensor unit and the microprocessor with necessary power. Particularly, for the minimum consumption of the battery power, an input signal for the infrared ray emitter is made in a pulse form signal of which duty ratio is under 1/100."
2005,"A system and method for routing power between circuit blocks in an integrated circuit, such as macros and standard cells. A macro is wrapped in a relatively narrow power interface ring and placed in the integrated circuit such that the lower metal layers of the power interface ring are aligned and in direct contact with the power rails of a standard cell block. A power grid is formed above the macro and the upper metal layers of the power interface ring are coupled to the power grid. The upper power grid is tied either to an outer power bus or directly to power pins in the surrounding I/O ring. Data signals may be routed in the I/O ring space."
2005,[00001] A solid-liquid mixture is electro-dewatered by apparatus having a conveyor belt for receiving an electric charge and having the mixture deposited thereon and an element above the conveyor belt receiving an opposite electric charge with the conveyor belt an element cooperating to apply a compressive force to the mixture and characterised by the conveyor belt including discrete electrically conducted segments which are permeable to the liquid. The upper element is preferably in the form of a rotary drum or second conveyor belt but it can be in the form of a pressure plate.
2005,"[00001] A process for designing a cable wiring path, or producing a cable interconnection layout in the form of one or more cable bundles is proposed, wherein electrical, electromagnetic and mechanical incompatibles of proposed changes can be detected early and overcome as necessary, in certain cases by multiple iterative checking and changing of transmission line paths within a mechanical structure. By data exchange between specialized programs for mechanical characteristics on the one hand and electrical characteristics on the other hand and, in certain cases, multiple data dialogs, a cable harness in the form of one or more cable bundles can be designed in short time taking into consideration the two very different types of requirements."
2005,"A method of calibrating a vehicle electrical system having a data bus includes transmitting calibration data to a calibration data device, such as a memory card, associated with an electronic device, such as a radio, simultaneous to other vehicle assembly steps; and transferring at least a portion of the calibration data from the electronic device to electronic modules coupled to the data bus upon a triggering event, such as application of electric power to the vehicle electrical system. The electronic device for transferring the calibration data includes a processor capable of being coupled to the data bus and having software capable of performing calibration procedures on the electronic modules, an interface coupled to the processor and the calibration data device and capable of receiving data from the calibration data device, and hardware and/or software for enabling the processor to transfer a portion of the data from the calibration data device through the data bus to enable the software to perform calibration procedures on the electronic modules."
2005,"[00001] An interior rearview mirror assembly for vehicles incorporates a reflective mirror element for viewing by a user of the mirror assembly, a lip formed from moldable polymeric resin selected to expand sufficiently when heated to allow snap in insertion of the reflective mirror element while the lip is warm and flexable, a carrier located to the rear of the reflective element such that the carrier is closer to a windshield of the vehicle than the mirror element when the mirror element is mounted in the vehicle, at least one electrical accessory, and an electrical connector adapted to receive a connector from the vehicle electrical system with the electrical accessory connected to the electrical connector. Preferably, the electrical accessory is supported by the carrier and is selected from a variety of electrical devices, lamps, lights, sensors and the like."
2005,"Protection systems for electrical systems such as substation power dividers are described. The protection systems may be designed and used to detect and clear faults that may occur within the substation power dividers. For example, a first Rogowski coil may be used to detect current along a primary conductor, and output a corresponding current signal to a multi-function, differential relay having multiple voltage and current inputs. Similarly, additional Rogowski coils may be used at each of a plurality of secondary feeders, where power from the primary feeder may be distributed to the secondary feeders using a connection bus. By comparing the signals from the first Rogowski coil and the additional Rogowski coils, the differential relay may determine whether a fault exists at some point along the conductor(s) and between the first Rogowski coils and the additional Rogowski coils, including whether a fault is associated with the connection bus. Further, the relay may then, in response to the fault, trip a circuit breaker or other network protection device, so that the fault may be corrected."
2005,"The invention concerns a method and a device for monitoring enablement of an electrical apparatus connected to a power grid. The method consists in: transmitting (A) from a specialised transmitter (ES) to the electrical apparatus (EA) a coded information message comprising an enablement information, in accordance with an enablement control code; and in receiving (B) by means of a receiver (R) equipping the electrical apparatus (EA) said information message. The latter is decoded (C) in accordance with specific enablement data integrated in the receiver (R) to generate decoded enablement data. The enablement of the electrical apparatus (EA) is granted (D, E) if the decoded data are in conformity with the integrated specific enablement data and enablement is refused (D, F) otherwise. The invention is useful for protecting electrical appliances against theft, for managing service delivery on a distant site, monitoring contractual terms."
2005,"[00001] The invention relates to a method for detecting accidental arcs (arc tracking) on a cable (1), especially on a cable of an aircraft electrical system. According to said method, an alternating current signal (I(t)) that has been detected is sampled time-discretely and a trigonometric function (I(k)) imitating the alternating current characteristic is determined by interpolation of a number of sampling values (y(k)). The current alternating frequency (¥ø) is then derived from this trigonometric function. The result of a comparison of the current alternating current frequency (¥ø) and a set or reference frequency (¥ø¡Ç) is used to determine the presence of an accidental arc (ISA,IGA) and a warning signal (Sarc) is optionally generated. A device which functions according to this method is advantageously integrated into a circuit-breaker (7) for the aircraft electrical system, so that the latter is equipped to detect and deactivate accidental arcs that occur on the electrical system cable (1)."
2005,"A system and method of panelized construction for use in construction of a building module, such as a residential housing addition. A plurality of pre-fabricated panels, such as wall panels, roof panels, floor panels, and ceiling panels may be provided to decrease on-site building time. The panels may comprise one or more covering layers pre-installed on a frame. The panels may also comprise pre-installed insulation or other core materials. The panels may further comprise a pre-installed portion of a house system, such as an electrical system. Additionally, the panels may comprise pre-installed windows, doors, or skylights. The panels may be designed to meet the residential building code requirements of one or more jurisdictions to decrease permitting time and inspection delays. The panels and other materials may be included in a building kit for a building module to be constructed by contractors or do-it-yourselfers."
2005,"[00001] A system and method of panelized construction for use in construction of a building module, such as a residential housing addition. A plurality of pre-fabricated panels, such as wall panels, roof panels, floor panels, and ceiling panels may be provided to decrease on-site building time. The panels may comprise one or more covering layers pre-installed on a frame. The panels may also comprise pre-installed insulation or other core materials. The panels may further comprise a pre-installed portion of a house system, such as an electrical system. Additionally, the panels may comprise pre-installed windows, doors, or skylights. The panels may be designed to meet the residential building code requirements of one or more jurisdictions to decrease permitting time and inspection delays. The panels and other materials may be included in a building kit for a building module to be constructed by contractors or do-it-yourselfers."
2005,"In a packaged integrated circuit, the package inductance limits the rate at which off-chip current may be varied in response to a change in on-chip current demand of the integrated circuit. The present invention provides an on-chip voltage regulator circuit for regulating multi-cycle voltage fluctuations of an integrated circuit associated with changes in current demand of the integrated circuit. The voltage regulator sources current to prevent an undervoltage conditions and sinks current to prevent an overvoltage condition."
2005,"In order to provide an air conditioner capable of safely discharging drain water outwards, and having good assembly properties and maintenance properties, an electrical equipment box 270 including a control substrate is placed on the side of a first side plate 250 of a base panel 200, and a drain pump unit 600 is placed adjacent to a second side plate 260, to treat drain water in a position apart from an electrical system."
2005,[00001] A street graphic cage for a post top light wherein the cage is installed around a globe positioned on said post. The street graphic cage has an upper frame element defining a plurality of panel apertures. The panel apertures receive translucent panels therein such that they may be backlit and illuminated. The panels are readily removable without entry into the globe or electrical system of the post top light and may contain user defined indicia thereon. The upper frame element may also have a plurality of logo block apertures which can receive either translucent logo blocks or decorative die-cast aluminum blocks. The cage may also have a lower circular frame element for affixing the cage to the post top light below the globe.
2005,"A rearview mirror assembly is disclosed including a housing adapted to be mounted to the vehicle, a mirror disposed in the housing, at least one electrically powered device disposed in the housing, and a power supply for receiving power from a vehicle power source having a voltage in excess of about 24 V and for supplying power at a voltage of about 5 V or less to the electrically powered device. The electrically powered device and the power supply exhibit an electromagnetic interference level of less than about 41 dB¥ìV/m for emissions in the frequency range from about 0.4 MHz to about 20 MHz. The mirror is preferably an electrochromic mirror, and the electrically powered device may be a control circuit for the electrochromic mirror."
2005,"[00001] A method and apparatus for detecting electrical arcs in an electrical system having a periodic power supply is disclosed. A method according to the invention compares instantaneous values of a monitored waveform both with (a) their past values at corresponding phases of the AC supply waveform, and (b) their future values at corresponding phases of the AC supply waveform. The monitored waveform is delayed or stored to allow such comparisons in near real time, to produce an output which is only slightly delayed behind the monitored waveform. An apparatus according to the present invention discloses a sampling circuit that samples electrical signals indicative of transient load conditions to produce a sampling circuit output. A storage device receives the sampling circuit's output and stores a time history of that output over an interval. A subtracting circuit receives the stored time history and subtract the time history from both of (a) a delayed version of the history, and (b) an advanced version of the history. An alarm circuit receives the output of the subtracting circuit."
2005,"[00001] The object of the invention is a device, intended for a multifunctional, hand-held tool machine, for example, an electric combination hammer, for the ON/OFF switching or changeover of individual system functions when changing the processing mode, for example, from ¡°hammer drilling¡± to ¡°chiseling¡±. Pursuant to the invention, the changeover device, which is to be actuated by the user, is coupled with a mechanical driving mechanism, by which a bistable switch, comprising two mutually oppositely movable elements, is actuated. In a combination hammer, the invention guarantees that, when the chiseling operation is selected, certain functions of the system, such as a monitoring of the reaction moment, are interrupted or changed over."
2005,"An electrical resistance determination method. Input to the method includes a description of at least one electrical network within a substrate. The description includes specification of a plurality of first ports on a first side of the substrate, and a plurality of second ports on a second side of the substrate, for each electrical network. All of the first ports are electrically isolated from one another. All of the second ports are electrically connected to a common voltage. A computer readable program code, which is executed by a processor of a computer system computes for a first electrical network of the at least one electrical network an electrical resistance between each first port and a port of the second ports. The computer code may also display a perspective plot of the computed electrical resistances as a bar oriented about normal to each first port."
2005,"[00001] A method for performing power routing on a voltage island within an integrated circuit chip is disclosed. A first power grid is generated for a voltage island on metal levels 1 to N?1. Then, a second power grid is generated on metal levels N and above. A bounding region of the second robust power grid is determined. Finally, the shortest distance connections from a set of power sources is routed to the second power grid."
2005,"[00001] An arc fault interrupter tester creates a simulated arc fault current through a full wave bridge rectifier, a load resistor and a switch connected in series. These components are rated at currents and wattage well below the current of the simulated arc fault. Thermal management in the form of a temperature sensor and control pulse timing and duration prevent damage to the low-rated components."
2005,"An apparatus for electrical protection of an electrical system includes a protection circuit for detecting when silicon controlled rectifier (SCR) or other control elements in an engine driven generator of a welding-type power source have failed. In such an apparatus, a shorted rectifying control element detection device has an input stage connected to an engine driven generator that supplies power for a welding-type process and a filtering stage to bandpass current signals acquired by the input stage from the engine driven generator. The apparatus further has an output stage connected to the filtering stage that at least indicates a fault condition if fundamental frequency components present in the current signals exceed a threshold."
2005,"An electrical system for a vehicle such as a truck wherein a power source is split or divided into a plurality of branch power lines to transmit power and data to a variety of systems and subsystems throughout the vehicle, each line having a fuse and a filter so that the data is isolated on the individual circuits while power is delivered to such circuits. In one embodiment, the system includes a J560 connector with a data filter, data control circuitry, and one or more power line transmitters and receivers being incorporated into the J560."
2005,"[00001] A method and apparatus for interfacing the motion of an object with a digital processing system includes a sensor which has a sensing resolution and detects movement of the object along a degree of freedom. An amount of play less than the sesning resolution exists between the sensor and the object. A passive actuator is coupled to the mechanism to transmit a resistive force to the object along the degree of freedom. A play mechanism is coupled to the actuator to provide a desired amount of play between the actuator and the object along the degree of freedom. The desired amount of play is greater than the sensing resolution of the sensor so that the sensor can detect the desired play when the user moves the object, even when the actuator has locked the object into place. Such desired play can be torsion flex (compliance) or rotary backlash. The actuator and the sensor provide an electromechanical interface between the object and the digital processing system. A gimbal mechanism or slotted yoke mechanism can be coupled between the actuator and the object. The interface is well suited for simulations of medical procedures and simulations in which an object such as a stylus or a joystick is moved and manipulated by the user."
2005,"[00001] A tachometer used to measure a speed of an engine. The tachometer includes a pickup, a counter circuit, a conversion circuit, an automatic switching device, an indicator and a meter display. The inductive pickup may be disposed around a spark plug wire of the engine to generate a pulse signal in response to a current flowing through the spark plug wire. The pulse signals are then counted by the counter circuit and input to the conversion circuit therefrom. The conversion circuit typically includes a plurality of lookup tables, each having mapped information correlating the pulse signals to the engine speed for a particular number of engine cylinders. The automatic switching device is operative to call up alternate lookup tables, e.g. each time when the electrical system of the engine is turned on. The display may be display the number of engine cylinders called up by the automatic switching device and measured engine speed."
2005,"A method of fabricating an on-chip decoupling capacitor which helps prevent L di/dt voltage droop on the power grid for high surge current conditions is disclosed. Inclusion of the decoupling capacitor on die directly between the power grid greatly reduces the inductance L, and provides decoupling to reduce the highest possible frequency noise. This invention specifically describes the process flow in which the decoupling capacitor is located between the top layer metallization and the standard bump contacts which have either multiple openings or bar geometries to provide both power grid and top decoupling capacitor electrode contacts."
