A,abstract
2015,"Various water basins and systems are described that include a first basin having a longitudinally upward extending tower, a first side, a second side, and a plurality of supports. The plurality of supports are adjustable from the first side of the first basin. The system includes at least a water system having a pump and a water line that extends from the pump to the second side of the first basin."
2015,"Time division multiple access (TDMA) media access control (MAC) adapted for single user, multiple user, multiple access, and/or MIMO wireless communications. Various com systems may include smart meter stations (SMSTAs) and/or wireless stations (STAs). Appropriate coordination is made with respect to such communication devices to ensure appropriate uplink (and/or downlink) communications between a network manager or coordinator (e.g., an access point (AP)) and the SMSTAs and/or STAs. With respect to SMSTAs, the relative duration of time that such communication devices are awake and operative versus asleep (or in a reduced power and/or functionality state) can be significant. Certain implementations may include a relatively large number of such communication devices (e.g., 10s, 100a, 1000s, or more), and appropriate coordination and scheduling of such communications to/from them is made using one or more variations of TDMA signaling (e.g., including different respective service periods (SPs), communication medium access operational modes, adaptation thereof, etc.)."
2015,"This invention relates to a method and a system for operating a wind power plant (1) connected to a power grid (2), the wind power plant comprising a number of wind turbine generators. The method comprises the steps of: setting up (101) a number of different models, each model emulating an electrical behavior of an electrical system, such as a load or a power generating unit, connected to the power grid; detecting (102) value(s) of a number of power grid parameters; selecting (103) one of the number of models, based on a number of values out of a set comprising the detected power grid parameter value(s) and ambient parameter value(s), or based on an external command signal; in the selected model, calculating (104) electrical output values of the model, based on the detected grid parameter values; calculating (105) electrical reference values for the wind power plant, based on the calculated electrical output values of the model; and calculating (106) electrical reference values for each wind turbine generator based on the calculated electrical reference values for the wind power plant. The method may further comprise controlling (107) the wind turbine generators according to the calculated electrical reference values for each wind turbine generator."
2015,"The switching device comprises an electronic switch (111) embedded within a downhole tool (100) and an activator (20) for remote switching of the electronic switch (111). The activator (20) may be a handheld unit that is used at the surface of the wellbore by an operator or may be a wireline run unit. The activator (20) permits wireless and contactless activation of the electronic switch (111) without the need for mechanical switches which could provide a point of failure for the downhole tool (100). The electronic switch (111) comprises an electronics module and a power source such as one or more batteries (126) wherein in the active configuration, the switch (111) can allow electrical connection between the electronics module and the power source (126) and in the inactive configuration, the switch (111) prevents electrical connection between the electronics module and the power source (126)."
2015,"The Scalable and Redundant Mini-inverters as described in this invention include double, triple, or quadruple redundant capabilities so that the Mini-inverters can work in a harsh environment for a prolonged period of time. A number of regular, redundant, triple redundant, or quadruple redundant Mini-inverters with one, two, three, or multiple input channels in a mixed variety can easily connect to one, two, three, or multiple DC power sources such as solar PV modules, invert the DC power to AC power, and daisy chain together to generate AC power to the power grid."
2015,"The presently disclosed subject matter is directed to methods and apparatus for providing a multi-protocol receiver for use in a radio frequency (RF) network. The receiver is designed to listen for multiple different packet preambles in parallel and, upon detection of a particular preamble, shift to demodulating the data portion of the packet using the single modulation technique associated with the particular preamble. Transmission of packets may be performed using a single radio frequency for all network devices or by frequency hopping techniques but using the same hopping pattern for all network devices. The receiver may be used with general communications networks or more specific applications, such as Smart Grid and AMI networks, and meshed networks of metrology devices."
2015,"The present technology relates to protocols relative to utility meters associated with an open operational framework. More particularly, the present subject matter relates to protocol subject matter for advanced metering infrastructure, adaptable to various international standards, while economically supporting a 2-way mesh network solution in a wireless environment, such as for operating in a residential electricity meter field. The present subject matter supports meters within an ANSI standard C12.22/C12.19 system while economically supporting a 2-way mesh network solution in a wireless environment, such as for operating in a residential electricity meter field, all to permit cell-based adaptive insertion of C12.22 meters within an open framework. Cell isolation is provided through quasi-orthogonal sequences in a frequency hopping network. Additional features relate to apparatus and methodology subject matters relating to Number-of-sons' management."
2015,"The present techniques include methods and systems for detecting a high resistive ground fault condition in an HRG system. Embodiments include systems and methods of measuring drive voltages and detecting voltage changes in the drive once the drive is in operation, particularly for drives operating at relatively low voltages and frequencies. In some embodiments, an integrator is utilized to detect peaks in the measured voltage changes. Relatively small ground currents are also measured to determine HRG faults. Moreover, in some embodiments, the detection of an HRG fault for one of several motor drives provide indication for the particular motor drive in fault."
2015,"The present invention relates to a circuit for emulating a current via a power inductor of a DC-to-DC converter. The circuit is able to generate a first signal and detect or emulate the constant component of the current by using a power inductor. The circuit is also able to generate a second signal or components of a second signal and emulate an alternating component of the current by using the power inductor. The circuit also is able to splice the first and second signal or the first signal and components of the second signal into a signal which at least partially emulates the current via the power inductor. The circuit able to generate a first signal may include a current sensing resistor connected to the power inductor and a first capacitor, and to a first input and output."
2015,"The present invention relates to a centralized and networked protection system and method of regional distribution network, and belongs to the field of electrical system automation and relay protection. The protection system includes at least two centralized protection devices, an intelligent terminal and a communication network module, the centralized protection devices being communication with the intelligent terminal via the communication network module, the intelligent terminal being configured along with switching devices to distribute in each line section, for sampling data, backup protection and executing of tripping and closing commands, the centralized protection devices configured in the monitoring center of the regional distribution network, for generating differential protection elements based on the information sampled by the intelligent terminal and the topologic structure of the regional distribution network; and for determining the region where fault occurs and sending tripping and closing control commands."
2015,"The present invention is an electronically controlled battery contactor that opens (disconnects) or closes (connects) the battery circuit from the other parts of a motor vehicle electrical system based on measured or sensed data derived from monitoring the electrical system, communicating with other on-board control units, and pre-programmed requirements specific to the vehicle operation. The primary functions are to protect the battery from excessive current drain when the vehicle is parked, protect against short circuits across the main electrical feed, and provide emergency disconnect for vehicle impact, rollover or sensed thermal events. A programmed delay function controls the opening of the contactor in conjunction with other electronic control units that may require electrical power for a period of time after vehicle shutdown. A master electrical disconnect switch is provided for manual override for servicing the vehicle or during an emergency."
2015,"The present invention addresses the problem of avoiding that wind turbine voltage levels within a wind power plant do not exceed predetermined overvoltage and/or undervoltage protection levels. In particular, the present invention relates to shifting of an output voltage level of a wind power plant in order to protect an internal power plant grid against overvoltages."
2015,"The present disclosure enables comparison of an energy consuming propensity of each energy consumer with that of other energy consumers. To this end, energy usage information of each energy consumer and comparison conditions (size of house, the number of families, energy consuming regions) are collected, and energy consuming propensities of other energy consumers are compared with energy consuming propensity of each energy consumer similar in terms of living environment, and the comparison is shown. A variety of statistical information for comparison is provided through an IHD (In-Home Display) installed at each house, whereby the energy consumers can easily and conveniently evaluate his own energy consuming propensity. An objective evaluation of his or her position related to energy consumption of other energy consumers promotes more active energy conservation and more rational energy consumption by being stimulated by the energy consumption of other energy consumers."
2015,"The present disclosure describes lowering of the starting torque for an alternator or motor. The disclosure also describes the integrated torque management system, torque control logic and torque control method. The current process may be adopted for any motor or alternator that has to manage the starting torque for optimal performance. The disclosure also provides a method, system and a device to allow any energy generating system to rotate at lower speeds to improve the efficiency of power generators."
2015,"The invention relates to an electrical power supply system for an aircraft comprising at least one main generator (20) feeding at least one technical load and at least one commercial load through at least one electrical power distribution channel comprising at least one electrical distribution busbar (21, 23, 25) and at least one voltage converter (22, 24, 26), wherein the grounding mode of at least one load is an IT type grounding scheme, with an isolated or high impedance neutral."
2015,"The invention relates to a synchronous power controller for a generation system based on static power converters, said controller comprising two main blocks referred to as: block 1 (electric block) (10) and block 2 (electromechanical block) (20), electric block 1 (10) being, in turn, formed by a virtual electrical characteristic controller (11) and a virtual admittance controller (12) and the electromechanical block 2 (20) being formed by a virtual electromechanical characteristic controller (21) and an inertia and damping factor controller (22)."
2015,"The invention relates to a power control device for a power grid and to a method for controlling the operation of a power control device. To allow a consumer unit connected to the power control device to be supplied with energy in an optimized manner in accordance with its requirements, a power control device according to the invention is proposed, said device comprising a power generation unit, in particular a photovoltaic unit, for generating power from renewable resources, an energy storage unit for storing energy, a load connection unit for connecting the power control device to a consumer unit for consuming energy, a grid unit, in particular an inverter unit, for connecting the power control device to a power grid, for drawing energy from the power grid and for feeding energy into the power grid, and a control unit for controlling a flow of energy between the power generation unit, the energy storage unit, the consumer unit and/or the power grid."
2015,"The invention relates to a method for securing the operation of a voltage-holding device used for starting or restarting the internal combustion engine of a vehicle, the voltage-holding device being electrically connected by a multiplex network to an electric machine and to a monitoring computer. According to the method, the voltage-holding device can be activated only if it has previously received an activation authorization message, which can be a starting or restarting message, sent by the computer to the electric machine and to the voltage holding device, or a message transmitted by the electric machine indicating that it is about to restart the internal combustion engine."
2015,"The invention relates to a method for granting an inquirer querying a repository access to the repository, a communication protocol between a client and a server, and a system for controlling access of at least one inquirer to a repository. The repository typically stores event data relating to traceable products. The aspects according to teaching disclosed herein may be for example implemented as security extensions for existing repositories providing a finer granularity of access rights and means to prevent an exposure of data sets considered sensitive. The security extensions disclosed herein may be implemented to protect access to any kind of client/server application wherein the server is exposing sensitive data."
2015,"The invention relates to a metering and measuring point system for measuring and metering the electrical energy drawn off a connection device or fed in the connection device by a consumption and/or generation unit at a fixed geographical point, comprising (a) an identifiable stationary connection device as well as (b) an identifiable mobile or non-stationary functional unit, the latter comprising respective devices for (b1) detecting the identifier of the connection device, (b2) metering and measuring the electrical energy drawn off and/or fed in the recognized connection device, (b3) storing the determined metering and measuring data and the determined identifier of the respective connection device being used and (b4) reading out the stored data.The invention further relates to a method for mobile/non-stationary measuring, metering and billing/clearing of the electrical current."
