A,abstract
2020,"The present invention discloses a control system for monitoring and control of a micro-grid (100). The control system comprises a first controller for controlling of at least one of a power generation source and an electrical load, and a second controller (245) for controlling a rotating electrical machine (246). The rotating electrical machine (246) is electrically connectable to an electrical bus (205) of the micro-grid (100) for one of receiving electrical power and supplying electrical power. The second controller (245) is configured to coordinate with the first controller for operating the rotating electrical machine (246) by engaging the clutch (244) to couple the rotating electrical machine (246) to the prime mover (242), for supplying power."
2020,"The present application relates generally to Volt-VAR optimization for power distribution systems having advanced metering infrastructure (AMI). Distributed energy resources (DER) such as photovoltaic arrays are becoming prevalent in distribution systems. These DER systems inject power into the distribution system which can cause unfavorable changes, such as a rise in voltage across the feeder lines of the distribution system. Existing control proposals suffer from a number of shortcomings, drawbacks and disadvantages. In some instances, traditional controllers for distribution systems with DER systems may require information related to the arrangement of the distribution system which is unknown and cannot be provided by the advanced metering infrastructure. There remains a significant need for the apparatuses, methods, systems and techniques disclosed herein."
2020,"Systems, methods, techniques and apparatuses of power converters are disclosed. One exemplary embodiment is a method of controlling and modulating a converter with a controller including forming a mathematical representation of the electrical system including the converter, providing reference values for controlled variables, calculating gradients of controlled variables based on the mathematical representation of the electrical system, determining possible switching sequences in the modulation period, the switching sequence defining the order in which the switches are switched, for each possible switching sequence, minimizing the error between the provided references and the corresponding controlled variables based on the calculated gradients by optimizing the switching time instants of the switching sequence, selecting the switching sequence with the smallest error, and applying the switching sequence with the corresponding switching times in the modulation period to modulate the controllable switches."
2020,"Self-healing polymers used to fabricate electrical devices or to coat electrical devices that have a metal or polymer substrate. The self-healing polymers can be made from modified polymers including polyurethanes, polyureas, polyamides and polyesters and, optionally, cross-linking agents and one or more catalysts. The self-healing polymers can be used to make cable ties, tape, conduit fittings and explosion-proof sealant materials."
2020,"A method and a control arrangement for an electric power conversion system including a plurality of electric power converters, the control arrangement configured to collect data related to the electric power conversion system, determine an optimal configuration for each one of the electric power converters of the electric power conversion system on the basis of collected data through a simulation of the electric power conversion system generate, for each one of the electric power converters, a source code for a firmware of the electric power converter on the basis of the determined optimal configuration for the electric power converter in question, and re-program each one of the electric power converters with the respective source code generated for the electric power converter in question."
2020,"This starting material is comprised in order to control the first area partitioning device (7a) the control system (9) allows so that the load current flow toward the second guard zone (Z1) from the first guard zone (Z2) and the fault current flow of the second guard zone (Z1) is limited from the first guard zone (Z2) it is comprised in order to separate according to the second guard zone (Z1) which is not comprised in order to be connected with any electricity transfer device (G5-G8, 11-15) drawing having the deformity clearance requisite in the first time horizon it is the section of the main bus (3) having the deformity clearance requisite in the second time horizon including times higher than the first guard zone (Z2) which is the section of the main bus (3) which is comprised in order to be connected with the electricity transfer device (11-15) this and an time included in the first time horizon that has the first area partitioning device (7a) is the deformity clearance requisite the main bus (3), in the first time horizon the multiple electricity transfer deviceses (G1-G8, 11-15) which is comprised is connected, and the first area partitioning device (7a) and control system (9) are included to the DC electrical power system (1) as the invention relating to the DC electrical power system (1), is the main bus (3), and the main bus (3)."
2020,"Invention: the polymer composition including the polymeric antioxidant, and C) single - or the oligo workability phenol antioxidant including the a) polymer matrix, and the pendant phenol antioxidant moiety it is compatible with the b) polymer matrix are disclosed. The invention additionally discloses the film capacitor and the electrical power system element including such polymer composition."
2020,"One or a plurality of techniques and / or system for facilitating output to the shutdown of the power converter in a power panel apparatus is provided. Shutdown implementation module is coupled between a power converter for converting DC power from the power panel apparatus and the energy panel device to AC power for the AC grid. In response to identifying the power shutdown state shuts down the implementation module is shut down until the output of the power converter in a power panel apparatus. The electrical power consumption device consumes (surplus electric power in the energy storage unit for example associated with the power converter, such as a capacitor) started up and shut down of the power associated with the output. Shutdown implemented modules may be located to within a threshold distance (e.g., within about 10 feet) from the power panel apparatus as a result, the output may be shut-off within the critical time span (for example, within about 10 seconds)."
2020,"The present invention provides a method of determining an electrical operating time of a circuit breaker (140) in a multiphase electrical system having a subsystem (160) at an electric potential resulting from electrical characteristics of electrical components within the subsystem. The method comprises monitoring (145) the voltage of the subsystem in the first phase, determining a first rate of change from the monitored voltage in the first phase, detecting at least one instance of switching based on the first rate of change, determining an electrical operating time of the circuit breaker based on the detected at least one instance of switching and an instance at which a command for switching was provided to the circuit breaker."
2020,"A protection relay for protecting an electric system, comprising means for receiving (306) a time multiplier value, means for calculating (306), with the received time multiplier value, an inverse definite time dependency having an exponentiation function, wherein the dependency defines a relationship between an excitation level of an input signal to the relay and an operate time of the relay. The relay further comprises means for shifting (308, 310) the dependency to a predefined calculation space, and means for applying (312, 318, 320, 322), during execution, the dependency shifted to the predefined calculation space when determining an operate condition of the relay."
2020,"A method of controlling a compressor system (10) comprises a gas compressor (32) and an electrical variable-speed drive (30) supplied by an electrical grid (36) and driving the gas compressor (32). A method of controlling the compressor system (10) comprises: detecting a voltage dip (12) in a grid voltage (V) supplied to the electrical drive (30) by comparing the grid voltage (V) with a voltage dip threshold; in the case, a voltage dip (12) is detected: assuming a future development (72) of the grid voltage (V); predicting a future development (84) of at least one process quantity (q) based on at least one process parameter (86) measured in the compressor system (10) and the assumption of the future development (72) of the grid voltage (V); providing the predicted future development (84) of the least one process quantity (q) to a protection system (88). The assumed future development (72) of the grid voltage (V) is based on a predefined depth and a predefined length of an average voltage dip, the predefined depth and the predefined length of the average voltage dip are determined online from a set of historical voltage dip cases, and the assumed future development (72) of the grid voltage (V) is based on an assumption of a persistence of the actual measured voltage."
2019,"Unique systems, methods, techniques and apparatuses of a power grid control system. One exemplary embodiment is a microgrid comprising a plurality of switching devices, a plurality of distribution line segments, a plurality of measuring devices, each measuring device corresponding to one of the plurality of switching devices, and a network controller. The network controller is configured to: receive measurements from the plurality of measurement devices, determine a fault is occurring within the microgrid using the measurements, assign a topology classification to each of the plurality of distribution line segments, assign a proximity classification to each of the plurality of distribution line segments, determine fault location using the topology classification and the proximity classification, and isolate the fault by transmitting open commands to the two switching devices of the plurality of switching devices closest to the fault."
2019,"The present invention provides a method of determining an electrical operating time of a circuit breaker (140) in a multiphase electrical system having a subsystem (160) at an electric potential resulting from electrical characteristics of electrical components within the subsystem. The method comprises monitoring (145) the voltage of the subsystem in the first phase, determining a first rate of change from the monitored voltage in the first phase, detecting at least one instance of switching based on the first rate of change, determining an electrical operating time of the circuit breaker based on the detected at least one instance of switching and an instance at which a command for switching was provided to the circuit breaker."
2019,"In aspects, the present invention discloses a method of determining an electrical operating time of a circuit breaker (140) in a multiphase electrical system having a subsystem (160) connectable to a power source (110) through a circuit breaker (140) operated by a controller (130). The controller is connected to a current transformer (120, 150) for measuring current of the subsystem in a one phase. The method comprises monitoring the current of the subsystem in the one phase, determining a first rate of change from the monitored current in the one phase, detecting an instance of switching in an another phase based on the first rate of change, and determining an electrical operating time of the circuit breaker in the another phase based on the detected instance of switching and an instance at which a command for switching in the another phase was provided to the circuit breaker."
2019,An intelligent fuse provides the operational status of the power network upon which the fuse is installed to a mobile device of a remote user. A fuse electronic circuit embedded in the fuse holder of the fuse captures the characteristic values of the power network and transmits the data to the mobile device. The mobile device has an application installed thereon to calculate the distance to fault location from the recording fuse using the fuse electronic circuit-captured data. The fuse electronic circuit-captured data is further used to visualize the data collected at the measurement points of the electrical system upon which the fuse is installed.
2019,"An electric power distribution switchgear is connected between an electric power grid and an electric power equipment. The switchgear includes a synchronized vacuum switching apparatus configured to break the current to the electric power equipment using a synchronized technique to avoid re-ignition during the breaking and thus any transients caused by such re-ignition; and a surge arrester arrangement connected to the electric power equipment, the surge arrester arrangement being designed and configured to only handle transients caused by the current chopping at the breaking. The surge arrester arrangement can be arranged remote from the electric power equipment, such as e.g. in the same casing as the synchronized vacuum switching apparatus."
2019,"A method for generating corrected measured current in an Intelligent Electronic Device (IED) that is a true representation of primary current in an electrical network is disclosed. The method uses regression and a first threshold on measured sampled values from CT to detect a deviation instance that indicates a possibility of saturation. Wavelet and second threshold based detection of instances of saturation is then done. Then a regression based correction that uses a dynamic correction factor is implemented in real time to obtain corrected sampled values i.e. corrected measured current. Ending of correction is done based upon a predetermined selection criterion, The generated corrected measured current is used for protection and control functions in the IED. A CT output re-generation module as a functional module in the IED for implementing the method as described above is also disclosed."
2019,"A method and apparatus for earth fault in power high and/or medium voltage system may enhance a protection system for special technical task, which is to measure residual current, the invention is, that for earth fault protection in power system or a part of power system, for example, but not limited to, cable connectors, wherein residual current is determined indirectly by the calculation from the phase current values, obtained from the output signals of Rogowski-coil based current sensors."
2019,A DC/AC converter apparatus is disclosed for converting DC power of a DC energy source into AC power for supplying a load and or the utility grid. The DC/AC converter apparatus is adapted to automatically control the amount of both active and reactive electrical power that is exchanged with the utility grid in order to optimize the electrical power usage of the micro grid.
2019,"The present invention proposes a hybrid converter branch operating mode for a Modular Multilevel power Converter MMC with MMC cells in distinct subsets (S1, S2) operating according to a ""pulse blocked"" cell operation mode with DC cell voltage increase or according to a ""bypass"" cell operation mode without DC cell voltage increase. Repeated cell subset assignment and corresponding alternation of cell operating mode allows to reduce or at least manage a mean deviation of the cell capacitor DC voltages of the converter cells. The invention also reduces no-load losses of the MMC in standby mode and a charging voltage in an MMC charging mode."
2019,"The present disclosure relates to a method of discharging a Modular Multilevel Converter (MMC) (1) comprising a plurality of phase legs (2) connected in delta configuration. Each leg comprises a plurality of series connected submodules (3), each submodule comprising an energy storage. The method comprises disconnecting the MMC from an electrical grid, discharging the energy storages by means of a circulating current, and reconnecting the MMC to the electrical grid. The discharging comprises, for each phase leg, setting a voltage reference, and sequentially selecting submodules in zero state by means of a sorting algorithm for switching each of the selected submodules to plus or minus state until the voltage deviation from the set voltage reference of the energy storage of each submodule in the phase leg is within a predefined range."
2019,Sampled measurement data stream is controlled in an electrical network by measuring at least one measurement value in a remote device; detecting in the remote device at least one phenomenon of interest or request for a connection from the central device; activating by the remote device a communication channel for sampled measured values between the remote device and a central device in response to the detection of the phenomenon of interest or the request for a connection from the central device; and sending the measurement value from the remote device to the central device through the communication channel for sampled measured values.
2019,"In aspects, the present invention discloses a method of determining an electrical operating time of a circuit breaker (140) in a multiphase electrical system having a subsystem (160) connectable to a power source (110) through a circuit breaker (140) operated by a controller (130). The controller is connected to a current transformer (120, 150) for measuring current of the subsystem in a one phase. The method comprises monitoring the current of the subsystem in the one phase, determining a first rate of change from the monitored current in the one phase, detecting an instance of switching in an another phase based on the first rate of change, and determining an electrical operating time of the circuit breaker in the another phase based on the detected instance of switching and an instance at which a command for switching in the another phase was provided to the circuit breaker."
2019,"A voltage source converter (CON) for high power application containing a plurality of valves, each valve containing a plurality of extinguishable semiconducting elements, and a valve control unit (CTRL) containing computer means and a pulse-width modulator providing an executing control signal (FP) for controlling the semiconducting elements, The valve control unit comprises a first control (11) containing a first pulse-width modulator (PWM1) for providing a first pulse-width modulation signal (FPT), a second control (12) containing a second pulse-width modulator (PWM2) for providing, a second pulse-width modulation signal (FPS), a mode detector (14), and a selector (13) connected to the first and second pulse-width modulator for selecting in dependence of the mode detector the executing pulse-width modulation signal (FP)."
