A,abstract
2019,"Disclosed herein are an apparatus and method for security policy management, which manages a network access policy in order to integrate distributed security policies and to apply the integrated security policy in a smart grid environment. The apparatus for security policy management includes a rule set generation unit for generating a rule set by converting predefined access policy security rules, acquired from one or more systems, into a document in a standard format, a topology extraction unit for extracting a network topology from a network diagram of the one or more systems, and a standard policy generation unit for generating a standard policy by combining the generated rule set with the extracted topology."
2016,"Provided are a connection error detecting apparatus and method. The connection error detecting apparatus, which detects connection errors for each rating of a smart meter, comprises: a parameter calculating unit for calculating connection error detecting parameters including an actual three-phase voltage value, an actual three-phase current value, an effective amount of three-phase power, and an ineffective amount of three-phase power; and a connection error determining unit for setting connection error criteria for detecting connection errors for each rating of the smart meter, and detecting the connection errors for each rating by determining whether or not any one of the connection error detecting parameters satisfies the connection error criteria."
2015,"Disclosed herein is an advanced metering infrastructure system that includes electronic meters, each of which being configured to measure and store an amount of energy consumed by each customer and provided with a slave communication modem, a data concentrator for collecting meter data from the electronic meters via a master communication modem that performs wired/wireless communication with the slave communication modems of the electronic meters, and a meter reading server for receiving and managing the meter data collected by the data concentrator. The master communication modem and each of the slave communication modems implement mutual communication interfaces using a protocol stack. The protocol stack includes a network layer, an application layer, and a modem performance analysis layer disposed between the network layer and the application layer and configured to analyze quality of a communication link between the master communication modem and each slave communication modem."
2020,"There can be the technical feature in the providing development and the electric power system software echo system which is handled and it utilizes the IaaS (Infrastructure as a Service) and PasS (Platform as a Service) and it sets up the integrated development environment (IDE) on the virtual machine (VM) and it builds the developer environment to the method for reproducing this and distributing and stores power data and outside public data through data warehouse and it analyzes stored beak data and provides the analyzed result as in the cloud base electric power system software echo system of the present invention, the development environment and operating environment the cloud base."
2020,"Electricity is gotten share of from the other microgrid in which the standard value of the droop slope and voltage action point satisfying the constraint condition in the short-term electricity scheduling process the standard value of the droop slope and voltage action point is re-computed through the case where the state where the power offset to increase through the droop control is bigger than the first threshold is continued over the threshold time, and the short-term electricity scheduling the predicted error of the generated energy and load is generated in each microgrid the voltage is controlled through the droop control. The electricity method of sharing between the microgrid each microgrid sets up the standard value of the droop slope and voltage action point according to the long-term electricity scheduling about the voltage type converter (VSC) and the DC/DC converter included inside the microgrid and the electricity method of sharing between the microgrid at the multiple DC microgrid system is provided and is not calculated. Electricity is gotten share of from the microgrid in which the power offset of the voltage type converter or the DC/DC converter does not exceed the first threshold."
2020,"Disclosed is the energy storage system connected to the electric power system. The emergency power is supplied to the trial line charging system which when the power outage in the electric power system the power supply to the electric power system is stopped occurs, is included in the electric power system from the battery the operation reserve rate is the reference example rate under the battery, and the operation reserve rate and the apparatus for power management for controlling the power conversion device in order to supply electricity based on the system frequency to the electric power system the operation reserve rate of the power conversion device for supplying electricity to the electric power system it uses the electricity of being stored in the battery and electric power system and system frequency is received are included the energy storage system and when the operation reserve rate the apparatus for power management is the reference example rhizomelic disproportion electricity is supplied based on the frequency of the electric power system to the electric power system."
2020,"The various working example of the present invention provides the electricity transaction system ratio restriction bid base automatic generation of electric power control following power generation with heat supply operation method preventing the cost of fuel loss and the technical problem to solve as the electricity transaction system ratio restriction bid base automatic generation of electric power control following power generation with heat supply operation method can secure the heat supply profitability according to the heat supply unit cost decline according to the electricity merchant ratio restriction bid trial and automatic generation of electric power control following in the power generation with heat supply. For this, the present invention discloses the electricity transaction system ratio restriction bid base automatic generation of electric power control following power generation with heat supply operation method in which the reheat pressure shield side and reheat pressure flow regulator are serially connected between the steam turbine and the low pressure heat switch which is the reheat medium-voltage system and including the electricity transactions bid (ratio restriction bid) step, the automatic generation of electric power control execute phase following and controls the power plant about the electric power system output request signal and frequency, and the stage of change going for the electrical output of the power plant to the real-time with the electrical output operation it changes as to the operation method of the power generation with heat supply apparatus in which the low pressure difference short side and low pressure oil amount conditioning side are serially connected between the steam turbine and the low pressure heat switch which is the low-pressure steam system. The electricity transactions bid (ratio restriction bid) step the electricity transaction system does not input the restriction proprietary in the bid of the power plant."
2020,"The invention relates to the intelligent telemetering protocol processing apparatus of the binary format and the task scheduling apparatus using the same and method thereof comprising the protocol receiver received with the command packet produced in the remote checking server of the DLMS protocol shape; the protocol transmitter transmitting the command packet of the generated B-SMCP protocol shape as described above and the protocol generating unit: inserting the command packet of the DLMS protocol shape received as described above into data field of the B-SMCP protocol and produces the command packet of the B-SMCP protocol shape in data concentrator; and the intelligent telemetering protocol processing apparatus of the binary format which the protocol generating unit extracts the identification code about the JOB schedule directed information classifying the JOB schedule according to the task division information, and the task operation information and task division information from the command packet of the DLMS protocol shape ; and inserts the extracted identification code into data field of the B-SMCP protocol."
2020,"Each lines of the electric power system are classified into multiple sections. The load blocking device and the method utilizing opening and closing switch are suggested in the electric power system for blocking load according to the load shedding rank of each section set up according to the generated energy and load amount of the distributed power arranged in each section in the abnormal occurrence of the electric power system. In the presented electric power system, the load blocking device utilizing opening and closing switch sets the section each load shedding rank up at least one among the priority of each section total load volume of the lines of the electric power system and loads as the basis. The load combination of the load amount and goal interception the fixed load shedding rank is renewed to the basis. The fixed load shedding rank and the updated load shedding rank opening and closing switch or the breaker are controlled to the basis and load is blocked according to section."
2020,"According to a preferred embodiment of the present invention, as to the system for controlling the water level of the underground electric power conduit pipe inlet well capable of the drainage activity between reciprocity according to the link pump operation it is connected between the inlet well which is adjacent while being installed according to the electric power facilities section of the underground electric power conduit pipe to the link waterway, by using the water level sensor: electric power facilities zone information in which the water level information and data communications part: inlet well critical dose collecting the identifying information, and the inlet well are installed from the water level sensor and the database: the equation information storing the height information is installed according to the inlet well and measures the water level the electric power facilities zone information and height information are searched The underground electric power conduit pipe zip ion control system including the drainage determining unit determining the water supply direction toward the extra capacitance of the specific inlet well, and the controller transmitting the control command of the inlet well link pump according to the result of the back water determining unit through data communications part is provided."
