A,abstract
2020,"The protective relay apparatus computes the second limiting current at the angular based on the primary current and the secondary current the second secondary 2 current at the angular is produced based on the first secondary 2 current the first secondary 2 current at the angular and the first limiting current is produced on basis of the primary current and the secondary current of the transformer. The protective relay apparatus comprises the first secondary 2 current, the first differential relay element, executing the rate differential operational based on the first limiting current and the second secondary 2 current, and the fault phase decision device judging the fault phase of the second differential relay element, executing the rate differential operational based on the second limiting current and electric power system. The first differential relay element corresponding to the phase 1 operates. In case the second differential relay element of the respective 2 corresponds to operates on moreover, the phase 1 and the third the fault phase decision device determines because malfunction occurred in the phase 1."
2020,"The protection control device comprises the output circuit outputting the command signal for opening the breaker based on the control signal from each of the first &#x0223C; third protective relay, executing the protection calculation of protecting the electric power system and the first &#x0223C; third protective relay. The output circuit comprises the first &#x0223C; third circuit which each other is parallel-connected. In case at least 2 among the first &#x0223C; third protective relay operates one side among the first &#x0223C; third circuit outputs the command signal. In case the or more is generated in the first protective relay in case at least one among the second and the third protective relay operate any one among the second and the third circuit output the command signal."
2020,"(Modified U) without the need for power to support the operation display, also provide a protective relay which is capable of supporting the operation display does not have a particular electronic noise countermeasure cost required for the protective relay, which comprises a conventional magnetic reversal display of do. The protective relay is provided with an operation display section 2 to display the operation history. The operation display section 2 includes a first movable part which is provided can be changed between two positions on the lower side 4 is the relative position with respect to the main body portion and the body portion than the first position and the first position. Either one of the main body portion and the movable portion 4 having a magnet 5 to generate a magnetic field, and the other end has an iron core 6. Operation display unit 2 has a coil 7 for generating a magnetic field in the direction opposite to the direction of the magnetic field that causes the magnet 5. Operation display drive for controlling the winding 7 is to control the time becomes greater than or equal to the power system is detected, at least temporarily, to the coil 7 generates a magnetic field in the opposite direction. 6"
2020,"The power conditioner 100 includes a power system (1) and the DC bus (2) DC / AC converter 3 and the electricity storage portion disposed between and converts the DC power of the power grid AC power and the DC bus of the two-way (101 ) battery (4) with the connecting portion and the DC disposed between the bus and converts the DC power of the DC power and the DC bus of the battery to the bidirectional battery communication control unit (6, having a DC / DC converter 5 and the battery portion which comprises a) and a communication control and communication unit 7 and the control power supply section 102 for supplying power to the communication control section for, and the control power supply section is converted into electrical power for supplying the DC power stored in the sub-power storage unit 10 and the power storage to the communication control power source 8 and provided with a backflow preventing part (9) for preventing the back flow of accumulated electric power to the power storage unit and the communication control unit batteries communication control unit and the communication in case of falls to a value of the input voltage of the control power supply unit fixed to a year to stop the operation of the battery."
2020,"Thereby preventing malfunction of protective relays due to the foreign field. The signal of the object to be measured at the power system side of the primary of the first transformer secondary 12_1 is input from the protective relay 4. The signal from the second transformer secondary power system side of the first 12_2 is not input. Correction calculation unit 40 is to remove the influence of the induced current caused by the foreign magnetic field, by a second output signal of the secondary side of the transformer secondary 12_2 Iュ correct the output signal Iz in the secondary side of the first auxiliary shift converter 12_1. The relay operation unit 41 using the output signal (Iz-Iュ) of the secondary winding of the first transformer secondary 12_1 after the correction by the correction calculation unit 40 and the relay operation. 3"
2020,"Thereby reducing the cost and burden of the user in the adjustment of the power consumed by the electric device. Acquiring measured values ??in the control unit 2, unit 210 obtains the measured value of power supplied from the commercial power system Jiro demand. Adjustment command transmitting section 240 transmits a command to adjust the power consumed by the electric device 7. If there is more than allow a measured value obtained by the measurement value acquisition unit 210 to the electric device 7 values. Reception unit using the information on the electric device 7710 accepts an input of the usage information regarding the use of the electric machine 7. Adjustment instruction receiving unit 720 receives the adjustment instruction transmitted from the second control device. If the power adjustment section 750 receives the adjustment instruction by the adjustment instruction receiving unit 720, and adjusts the power consumed by the electric device 7 in accordance with the use information captured input is received by the reception unit 710 using the information. 4"
2020,"While having the flexibility of the degree of design provides for a power system protection and control device with a programmable logic controller function it can be excluded as much as possible the real design. Protective control apparatus main body 10 has a logical operation processing 77 to the logical operation processing on the input signals from the plurality of protective relay computation result, and external features. Logical calculation processing 77 calculates, based on the logic circuit design data produced by the terminal apparatus 60 and the logical operation processing. Logic circuit design data comprises a plurality of basic logic circuit design data that represents the circuit diagram of the basic Japanese logic circuit to be processed in sequentially. Each basic logic circuit that would generate a single intermediate output signal by logic operation to the input signal of the p pieces (p is an integer of 2 or more) at the maximum. Wherein the second basic logic circuit of the second and subsequent may utilize the already computed intermediate output signal as the input signal. 2"
2020,"This invention provides a gas turbine power generation equipment adapted to prevent step out of an electric power generator due to a system trouble such as a momentary power failure in a local grid including intermittent renewable energy generation equipment and the gas turbine power generation equipment.The gas turbine power generation equipment 10 that supplies electric power in cooperation with the intermittent renewable energy generation equipment 30 in the local grid 50 interconnected to a power grid 7 includes: a fuel flow control valve 201 that controls a flow rate of fuel supplied to a combustor 2; a bleed valve 105 or inlet air flow control valve 100 that controls a flow rate of air compressed by a compressor 1 and supplied to the combustor 2; and a control unit 400 configured so that if voltage on the power grid decreases below a threshold V(t), the control unit outputs a control signal to at least one of the fuel flow control valve 201, the bleed valve 105, and the inlet air flow control valve 100. The control unit 400 thereby reduces instantaneously at least one of the fuel flow rate and the compressed air flow rate. After an elapse of a predetermined time, the control unit 400 instantaneously returns the reduced flow rate to its original level."
2019,"This invention provides a gas turbine power generation equipment adapted to prevent step out of an electric power generator due to a system trouble such as a momentary power failure in a local grid including intermittent renewable energy generation equipment and the gas turbine power generation equipment. The gas turbine power generation equipment that supplies electric power in cooperation with the intermittent renewable energy generation equipment in the local grid interconnected to a power grid includes: a fuel flow control valve that controls a flow rate of fuel supplied to a combustor; a bleed valve or inlet air flow control valve that controls a flow rate of air compressed by a compressor and supplied to the combustor; and a control unit configured so that if voltage on the power grid decreases below a threshold V(t), the control unit outputs a control signal to at least one of the fuel flow control valve, the bleed valve, and the inlet air flow control valve. The control unit thereby reduces instantaneously at least one of the fuel flow rate and the compressed air flow rate. After an elapse of a predetermined time, the control unit instantaneously returns the reduced flow rate to its original level."
2019,"A power conversion device which converts power between a power grid and a DC power supply, includes: AC/DC converters for performing conversion from AC power to DC power or from DC power to AC power between the power grid and the DC power supply; a capacitor provided on the DC power supply side of the AC/DC converters and storing DC power; and a step-up unit for charging the capacitor."
