A,abstract
2020,"An electric vehicle supply equipment (EVSE) charging system includes an EVSE charging station that is configured to switch a power source between a first power source and a second power source based on a time of use or real-time energy pricing data from a utility. Switching additionally and/or optionally may be based on at least one of charging information and metering information. The first power source may be a renewable source and the second source may be the power grid. In this way, a smart electric vehicle supply equipment (EVSE) charging station may manage and optimize energy supply from a grid and a renewable source when charging an electric vehicle (EV) with the smart the EVSE charging station."
2020,"A wind turbine system (20, 70) is connected to an electrical grid (42) by an inverter (38) that provides turbine terminal voltage (Vt) support to the grid during a grid low voltage fault that is concurrent with a lack of real power production from the generator (30) by providing reactive power to the grid. A processor (46) controls the inverter to preserve a minimum voltage on a local DC bus (34) by stopping the reactive power output when the DC bus voltage drops to a threshold value (59) that is above a low bus voltage trip setpoint (56). An energy storage device (48) such as a battery may be connected to the DC bus to provide power that supports a prolonged ride-through capability during the grid fault."
2020,"A vehicle, in particular for conveying people and/or freight, includes at least one fireproof electrical network, at least one first vehicle region having a first fire load, and at least one second vehicle region having a second fire load that is smaller than the first fire load. In order to keep the necessary fireproofing as low as possible, at least part of the fireproof electrical network is disposed in the second vehicle region."
2020,"A method to control a wind power installation is provided. The wind power installation includes a generator and a converter. The generator is configured to convert wind power into electrical power and to provide the electrical power from the generator to the converter. The converter is configured to adapt and to provide the electrical power to an electrical grid. The converter is operable to comply with pre-determined grid code requirements during a grid fault. An amount of electrical power, which is present in the wind power installation during the grid fault, is fed into the generator. The generator is operable to convert the respective amount of electrical power into a generator loss."
2020,"The present invention relates to the assembly (1) for the overvoltage protection of the electric system (2) which is the resistor column (3) and the electric system (2) having the resistance element (19) arranged within the housing (4) which is comprised in order to charge to the electrically insulating protective gas (6) insulated to the insulating property fluid (5) to go out for the bushing (7) for connecting to the resistor column (3). It is characterized by the invention that the housing (4) is equipped with contact point apparatuses (8, 9, 10, 11) which can be mechanically driven from the housing outside separate between connect the electrical contact between the bushing (7) and the resistor column (3)."
2020,"Systems, methods, and computer-readable media are described for addressing the unit commitment problem in a power grid by providing a communication-free control framework according to which each power generating unit in the power grid determines its own operating schedule for turning on or off based solely on local measurements."
2020,"Method for assigning measuring nodes such as smart meters to low-voltage networks, wherein the measurement data of the smart meters to be assigned is detected over a predetermined period of time, wherein activity patterns of the meters are further determined from the detected data and wherein the activity patterns are compared with one another and an extent of the agreement is determined, and an assigning of the smart meter is specified from the extent of the agreement of the activity pattern. In this way, a simple and robust assigning of the meters is enabled."
2020,"A method for identifying automatically an inner node within a hierarchical network (4) causing an outage of a group of leaf nodes at the lowest hierarchical level of said hierarchical network (4), said method comprising the steps of providing (SI) an outage state matrix (X) representing an outage state of leaf nodes at the lowest hierarchical level of said hierarchical network (4); decomposing (S2) the state matrix (X) into a first probability matrix (W) indicating for each inner node of said hierarchical network the probability that the respective inner node forms the origin of an outage at the lowest hierarchical level of said hierarchical network (4) and into a second probability matrix (H) indicating for each leaf node at the lowest hierarchical level of said hierarchical network (4) the probability that an inner node forms a hierarchical superordinate node of the respective leaf node at the lowest hierarchical level of said hierarchical network (4) and evaluating (S3) the first probability matrix (W) to identify the inner node having caused the outage of said group of leaf nodes."
2019,"In one or more embodiments, electrical supply systems including Electric Vehicle Supply Equipment (EVSE) are provided. The EVSE includes a communication gateway that provides internet accessibility by a user through an EVSE server. In some embodiments, the EVSE allows communication with other smart devices, and/or communication of status of loads coupled to a load center. The user or the utility service provider can perform, through the EVSE server, energy management and home automation tasks using this communication gateway of the EVSE and may send control signals to smart devices through the EVSE. This EVSE may also provide a protection mechanism for smart devices coupled to the load center in case of emergencies like brown-outs or power surges on the electric grid. Methods of operating the system and EVSE are provided, as are other aspects."
2019,"In a differential protection method for monitoring a line of a power grid, current indicator measured values are measured at the ends of the line and are transmitted to an evaluation device. A differential current value is formed with current indicator measured values temporally allocated to one another. The time delay between local timers of the measuring devices is used for the temporal allocation of the current indicator measured values measured at different ends. A fault signal indicating a fault affecting the line is generated if the differential current value exceeds a predefined threshold value. A check is carried out using electrical measured quantities temporally allocated to one another and a line-specific parameter to determine whether the time delay information indicates the actual time delay between the respective local timers. A time error signal is generated if erroneous time delay information is detected."
2019,"Improvements to a distributed automation power grid are selected to improve storm survivability. Using historical information about storms, link sets are determined that, when added to the power grid, would restore connectivity after damage by each of the storms. One of the link sets is then selected based on costs and rewards, and is added to a grid representation. Survivability of the modified grid representation is then estimated, and additional link sets are determined and selected until survivability surpasses a minimum level or a budget is exceeded."
2019,"An electrical circuit for a vehicle includes at least one electrical contact device for an intermittently detachable electrical connection to a vehicle-external electrical network, a vehicle-internal electrical network and at least one detector device which determines if a connection exists between the contact device and the vehicle-external network. The circuit has at least one switching device which closes the electrical connection between the contact device and the vehicle-internal network depending on the connection determined between the contact device and the vehicle-external network. A method for making contact and/or breaking contact of a vehicle with a vehicle-external electrical network is also provided."
2019,"A motor starter includes a control unit and a first current path, via which energy can be supplied to a downstream electrical motor. The first current path includes a semiconductor switch and an electromechanical switch element, the semiconductor switch and the switch element being connected in series. In order to provide a cost-effective, safe motor starter, according to an embodiment of the invention the control unit is designed such that, in order to produce an energy supply via the first current path in a first step, it ensures that the voltage currently connected via the switch element, in respect of a previous opening of the switch element, lies below the allowable maximum blocking voltage of the semiconductor switch. Subsequently in a second step, the switch element first closes and then switches the semiconductor switch to be conductive."
2019,"A method for estimating grid properties of a power grid coupled to a generator at a point of common coupling is provided. First, a voltage VPCC at the point of common coupling is measured. Second, a current IPCC at the point of common coupling is measured. Third, the grid properties are estimated by a grid model using as input parameters the measured voltage VPCC at the point of common coupling, the measured current IPCC at the point of common coupling and the determined phase angle. Advantageously, the absolute phases of the voltage and the current at the point of common coupling are not necessary, which makes the present method less prone to errors due to measurement noise. Further, a device and a computer program product are provided."
2019,"A method and apparatus for automatic recognition of similarities between perturbations in a network, the apparatus includes a memory unit for storing a first data array of multiple perturbation data snapshots each recorded in response to a perturbation observed in the network; a generation unit adapted to generate by machine learning a data model of perturbations trained on the first data array, wherein the trained data model provides a latent vector representation for each of the perturbations; a recording unit adapted to record a perturbation data snapshot if a perturbation is observed during operation of said network and adapted to provide a corresponding second data array for the recorded perturbation data snapshot; and a processing unit adapted to derive a latent vector representation for the observed perturbation from the second data array using the trained data model of perturbations."
2019,"The invention relates, among other things, to a protective device (10) for protecting an electrotechnical unit (30), particularly for protecting an electric energy supply unit, wherein the protective device comprises a plurality of device input terminals and a plurality of functional modules (220, 51), which can be connected to the device input terminals by user adjustment of the protective device such that the functional modules can carry out protective functions defined by the user and can emit associated control signals for activating or deactivating associated switches of the electrotechnical unit. According to the invention, preprocessing modules can be applied to the device for associating the device input terminals with the functional modules, allowing the device input terminals of the protective device to be connected to the functional modules, wherein at least two different kinds of preprocessing modules are provided and wherein at least one kind of the preprocessing modules supports two different electric connection types, with which the respective preprocessing module can be connected to a measurement point of the electric unit."
2019,"The invention relates to an electrical circuit for a vehicle and a method for establishing contact and/or terminating contact of a vehicle with a vehicle-external electrical network. The electrical circuit comprises at least one electrical contact means for temporary disengageable electrical connection to a vehicle-external electrical network, and a vehicle-internal electrical network, and at least one detector device which determines whether a connection exists between the contact means and the vehicle-external network. In order to improve known systems, the invention provides that the circuit has at least one switching means which closes the electrical connection between the contact means and the vehicle-internal network depending on the connection determined between the contact means and the vehicle-external network."
