A,abstract
2020,"A device comprising an input for obtaining consumption data relating to the consumption of a utility provided by a utility provider, an output for outputting modified consumption data and a processor arranged to generate the modified consumption data based on obtained consumption data so that the modified consumption data starts to converge with the obtained consumption data if a deviation of the obtained consumption data from the modified consumption data exceeds a predetermined threshold."
2020,"When a voltage-fluctuation suppression device suppresses, for input/output of connected power between a first power grid, or a commercial power grid, and a second power grid including a power generation device and grid-connected to the first power grid, voltage fluctuations in the first power grid, a control unit includes a voltage allowable range computing unit, controls a ratio between active and reactive power output by the voltage-fluctuation suppression device to be equal to a ratio between active and reactive power of power flowing between the first and second power grids, and controls the ratio between the active and reactive power output by the voltage-fluctuation suppression device to be equal to the ratio between the active and reactive power of power flowing between the first and second power grids."
2019,"A current sensor comprises: a plurality of magnetoresistance elements whose resistance value changes by application of an current-induced magnetic field from a current-to-be-measured; and a selection circuit that selects one magnetoresistance element from these plurality of magnetoresistance elements and outputs a signal of a selected magnetoresistance element. In the plurality of magnetoresistance elements, relationships between a magnitude of the applied current-induced magnetic field and the resistance value are different from each other."
2019,"A full bridge circuit comprises first to fourth magnetic resistance elements. The first and fourth magnetic resistance elements have a first polarity, while the second and third magnetic resistance elements have a second polarity. A comparison circuit compares a first value indicating a difference between a potential of a first connecting node and a first potential and a second value indicating a difference between a potential of a second connecting node and a second potential to determine presence/absence of an external magnetic field. An initial magnetization vector of a magnetization free layer of the first magnetic resistance element is the reverse of that of a magnetization free layer of the second magnetic resistance element. An initial magnetization vector of a magnetization free layer of the third magnetic resistance element is the reverse of that of a magnetization free layer of the fourth magnetic resistance element."
2019,"A control system for a solar power plant includes: plural power conditioning systems performing grid connection control of transmission of electrical power generated by a solar power generator to a power grid; and a supervisory controller which issues a target output command to each power conditioning system so that interconnection point electrical power, electrical power fed to the power grid, becomes equal to or smaller than an upper limit output value. The supervisory controller: receives an urgent request including information related to a time of day at which the upper limit output value is scheduled to be changed and the scheduled upper limit output value; and calculates a target value of the interconnection point electrical power for each time of day so that the interconnection point electrical power conforms to the scheduled upper limit output value by the scheduled time of day."
2017,"One embodiment is a communication device in which different wireless systems whose frequency bands are close to each other are installed. For a first wireless system, a first antenna using a first frequency band is provided. For a second wireless system, a second antenna using a second frequency band is provided. The first frequency band is set in a range wider than the second frequency band. The second frequency band is included in a part of the range of the first frequency band. An imaginary surface extending along the first antenna and an imaginary surface extending along the second antenna cross each other on their extension lines."
2017,"A surface-potential distribution measuring device includes: a laser light source; a Pockels crystal; a mirror; a photodetector that detects light intensity of the laser beam reflected by the mirror; a holding and mounting part that holds and moves the Pockels crystal; a voltage correction database; and a calculation unit that identifies an input voltage corresponding to a testing output voltage as a surface potential of the electric-field-reduction system. The Pockels crystal is formed in such a way that a size of a cross section of the Pockels crystal that is perpendicular to an axial direction changes along the axial direction. The holding and mounting part has a protection unit to protect a structure of the Pockels crystal, a movement unit to that moves the Pockels crystal in order to measure a surface potential of the electric-field-reduction system, and a drive control unit to control the movement unit."
2016,"According to an embodiment there is provided a system comprising an input for connecting the system to a power supply, at least one further power source, at least one power consumer, an identifying unit arranged to identify, based on information originating from within the system, an ongoing and/or future power consumption event by the at least one power consumer and a power router that comprises a controller and that is arranged to route power to the power consumer from at least one of the power supply and the at least one further power source, the power router storing rules that define at least part of the routing operation of the router. The power router is arranged to route power to an power consumer in accordance with the rules so that at least a part of the power consumed by the power consumer during the power consumption event is provided by the at least one power source, rather than through the input, in response to the identifying unit identifying a power consumption event."
2016,"A steam turbine plant includes: a superheater; a reheater; a high-pressure turbine; an intermediate-pressure turbine; a low-pressure turbine; a condenser; a bypass pipe that branches off a main steam pipe and includes a high-pressure turbine bypass valve; a bypass pipe that branches off a high-temperature reheat steam pipe, is connected to the condenser, and includes a low-pressure turbine bypass valve; and a branch pipe that branches off a low-temperature reheat steam pipe, is connected to the condenser, and includes a ventilator valve. At the time of turbine start up, the ventilator valve, the high-pressure turbine bypass valve, and the low-pressure turbine bypass valve are fully opened to allow steam to be circulated simultaneously into the high-pressure turbine and the intermediate-pressure turbine."
2016,"According to one embodiment, a system includes modules to detect a node voltage and an output current of a converter, a detector to obtain an effective power value, a system condition detector to detect a power supply condition in the electric system or the operating conditions of devices included in the electric system and then output a first signal, a setting unit to switch a set value to a preset first or second value and then output the set value, a unit to calculate an angular frequency of an output voltage of the converter on the basis of an output of the detector, the value, and an output of the system condition detector, and a unit to calculate a target value of the converter."
2016,"An information communication device is provided with a monitoring unit, a communication unit, a storage unit, a switching unit, an acquisition unit, a creation unit, and a transmission unit. In the event that the monitoring unit detects trouble in the basic network, the switching unit switches the communication function of the communication unit from a first communication function to a second communication function. In the event that the monitoring unit detects trouble in the basic network, the creation unit creates notification information about the trouble in the basic network. The transmission unit transmits the created notification information via the switched-to communication function to a contact retrieved from the storage unit."
2015,"Metering of a physical characteristic is described, in which a stochastic approach is taken. A random signal is generated on the basis of a metering signal, with a view to maximising a statistical distance between the two. The random signal and the metering signal are mixed together to obscure characteristics of the metering signal which could otherwise divulge private information to third parties."
2015,"According to an embodiment, a communication apparatus includes a security control unit. The security control unit establishes first and second secure communication channels to a first server which manages communication security keys and second server which provides a service regarding a smart meter, respectively when operation to the smart meter is started, performs mutual authentication with the first server and acquire a first key from the first server via the first secure communication channel, and relays mutual authentication with the first server and acquisition of a second key from the first server via the first secure communication channel for the smart meter."
2014,"According to one embodiment, there is provided an executive monitoring and control system for monitoring and controlling a power generation output of each dispersed power source and a load of each demand facility in a smart grid or a micro grid. An abnormal-time interchange procedure formation unit forms, when a fault occurs in a system, an interchange procedure of matching the total power generation output amount of dispersed power sources with the total loading of demand facilities, by using at least the information acquired by the measurement value monitoring unit and the information managed by the customer information management unit."
2014,"According to some embodiments, a key management apparatus for deploying in a smart grid system adapted to receive metering data from smart meters connected to at least one relay via a network, includes: a key control mechanism that derives a key array of individual purpose specific keys from one master key such that the purpose specific key in the key array are each independent cryptographic keys for each specific usage in an application or for each application if there is only one specific usage in an application."
2013,"The communication unit transmits and receives a communication message. The authentication processor performs an authentication process for establishing the network connection by transmitting and receiving an authentication message to and from an authentication server through the communication unit. The encryption information generator generates an encryption key shared with the authentication server when the authentication process is successfully completed. The first message generator generates a first communication message instructing the destination device to acquire the encryption key from the authentication server. The second message generator generates a second communication message including data to be transmitted to the destination device. The communication unit transmits the first communication message to the destination device, encrypts the second communication message with the encryption key, and transmits an encrypted second communication message to the destination device."
2018,[Subject] The static var compensator and the method for controlling the same for performing the reactive power compensation which is highly precise are provided. [Means for solving problems] Provided is the static var compensator including the compensating circuit and control circuit according to the embodiment. The compensating circuit is connected to the electric power system and load of the alternating current through the alternating current bus lines. It has the switching element. And the MR 000 B outputs the reactive power to the electric power system of the switching element with off with 7. It comes. The control circuit controls off with 7. The instruction value prints out the reactive power responding for the instruction value based on the instruction value of the switching element in the compensating circuit. It comes the control circuit produces the instruction value of the reactive power outputted from the compensating circuit. The control circuit detects the change of the active power of load. It produces the instruction value in order to offset the change of the true RMS voltage of the alternating current bus lines which the change of the active power accompanies. Or the change of the active power of load is detected. The instruction value is produced in order to offset the change of the reactive power of the power condenser which the change of the active power accompanies.
2015,The output power control apparatus being prepared in the electric power system in which the second battery system (2) and generator (3) are parallely connected and being the output power control apparatus controlling the output power of this electric power system and detecting the output power of the generator (3) and for controlling the output voltage of the second battery system (2) based on the value subtracting the output power of the generator (3) detected from the output power command for controlling the output power.
2015,The second battery system converting the DC power supplied from the secondary battery (B1~B3) into the AC power with the power conversion device (INV1~INV3) and in case it becomes as to the second battery system supplied the electric power system of the load side less than the predetermined rate of the storage battery residual quantity of the secondary battery corresponding to the power conversion device in which the storage battery residual quantity of the secondary battery corresponding to the power conversion device for driving stops stops the power conversion device for driving and includes the control device (1) starting the operation of the power conversion means stopping.
2013,"Short circuit distance relay excellent in terms of high precision the reliability which can select the accident phase based on the impedance at the angular and the impedance does not depend on upon the system condition and it is preventible with the false positive &#x000B7; unnecessary operation by the overreach (over-reach) and is operable in moreover, the multiple accident are provided. The impedance of the operated phase of the directional unit (SM) is saved with the impedance production means (11). The impedance minimum phase is selected with the minimum phase selectivity means (12) as the accident phase. When the impedance of the phase selected is the establishment impedance within of the distance element the output of the distance element is printed out to the valid and the cut-off direction to the breaker is outputted. According to this, it does not depend on the system and the false positive &#x000B7; unnecessary operation by the overreach is authentically interrupted."
2013,"It makes a large capacity of transmission of system quantity of electricity data possible. In that way moreover, data transfer equipment for the digital protective relay of the high function and digital protective relay are provided the high accuracy. The data transfer equipment for the digital protective relay comprises the transmission mean (8) transmitting the analog to digital converter (6), converting the system quantity of electricity acquired from the electric power system into the m (m12) times of the fundamental frequency f0 after doing sampling into digital data of the n (n12) bit and the n bit obtained from the analog to digital converter, and data processing block (7), converting m sampling data of the frequency m&#x000B7;f0 into k sampling data of the frequency k&#x000B7;f 0 (k&#x02264;m) of less and k sampling data obtained from data processing block to the predetermined transport format in the digital protective relay of the far-end."
2012,"As gas pipe lines (6a, 6b) connected to the sealed container (1a╪3b), the flexible piping (7) consisting of the steel bellows of the austenite type stainless steel coats with the paint of the high flexibility is used. The flexible piping (7) is rotatable it sets up the flange (7b) in both ends. This flange (7b) is used. Gas pipe line are connected to the gas port (8) of the sealed container. When compared to the flexible piping of the stainless steel is the piping of the copper, the resistance value is high. The cis- current can be reduced. In the circumference of the flexible piping, the paint of the high flexibility is coated with. It is the coating after. Still the bending of the flexible piping becomes possible. The weatherability improves. The support gap of the gas pipe line is done over 1m. Gas pipe line does not resonate with the frequency of the conventional power system."
2011,"The present invention is to provide the protective relay apparatus capable of the quantity of electricity calculation without requiring for the sampling synchronization control etc. accompanies the timing control about the control of the transmitting timing or return, of being exact. The communications control unit (17) sending and receives the frame, and time are revealed. It has the timer counter (16) and the microprocessor (15) acquiring the transmission time of the transmission frame, and the time of arrival of the receive frame. The microprocessor (15) adds the transmission time to the time inquiry frame. It extracts the transmission time from the time added part (15a) adding the value which calculates to cross each other of time with the other device to the time response frame, and the time inquiry frame received from the other device. It the time of calculating to cross each other of time with the other device crosses each other it has the operation unit (15c) based on the time extracting unit (15b), extracting the added value from the time response frame which receives from the other device the value etc. The time extracting unit (15b) is extracted by the time extracting unit (15b)."
2020,"The invention has for its object to provide a power plant of the solar power station, and the unification control apparatus capable of improving the development opportunity. Comprehensively control device 10 is provided with a replacement controller 20, and the threshold changing section 21. Supplemental control unit 20 executes the supplemental control for supplementing the output shortfall of some power control system in the case more than the current generation rates of the plurality of the power generation system, a threshold value for the power plant rated power generation amount as the output of another power control system in which the capacity do. Threshold changing section 21 is the current value of the threshold value for the following sampling period, if not, if the variation of the solar radiation in the current sampling period to exceed the solar radiation tolerance lower than the current value of the threshold value of the next sampling period exceeds increases more. 2"
2020,Provides a short right model device which can combine the dynamics of unstable accident cases and the original system model. Reduced parameter tuning unit 12 calculates the grid agitation waveform of the original system model in the case where subjected to stabilization control in more source system stabilizer control amount control amount according to Contingency case setting unit 122 and the instability accident case of setting the stable accident case of power system system perturbations of the desired grid shake calculation unit 123 and the instability in the accident case circle system stabilizer abbreviated system shake calculation unit 124 to calculate a system shake waveform of reduced system model in the case where subjected to stabilization control in the control amount or more control amount and the original system model and a contraction parameter estimating unit 126 to adjust the parameter by estimating a short so as to minimize the waveform with the short system of the grid model sway difference calculation 125 and the difference calculating a difference between the waveforms. 1
2020,"Provides a reactive power compensation apparatus and a control method capable of precisely reactive compensation. According to the embodiment is provided with a reactive power compensation device comprises a compensation circuit and a control circuit. Compensation circuit has a switching element is connected to the power system and the load of the AC through the AC bus, and outputs the reactive power by the on-off of the switching elements in the power system. The control circuit calculates the reference value of the reactive power output from the compensation circuit based on the command value by controlling the on-off of the switching element, and outputs a reactive power command value according to the compensation circuit. The control circuit calculates the reference value so as to detect the effective power change of the load, and the offset voltage effective value variations of the alternating bus bar according to a variation of the active power. Or it calculates a command value so as to detect the effective power change of the load, and to offset the reactive power fluctuation in the power capacitor according to the fluctuation of the effective power. 1"
2020,"By turning off the short-circuit state of the group of the secondary circuit even when the three-phase short-circuit fault in the vicinity of large plants linked that paragraph effects of fault currents at high speed to resume stable operation by AC excitation device, a successful accident removed by the grid breaker after provides over-voltage protection device of the variable speed positive power system that does not require the stopping of the cycle of the system from haeryeol or by a circuit-breaker for parallel. According to an embodiment the art when the high pressure side is an overvoltage to be connected to the circuit art circuit between the winding inductors are connected to the stator windings to the power supply of low-voltage side of the transformer rotor coils and AC excitation device connected to an electric power system occurs a variable-speed pumped in over-voltage protection of the power generation system, the short-group short-circuit operation energizing current is pre-specified current predetermined value or less in an in continued over time of the short-circuit operation prescribed operation of the short-period of time having a group short circuit that short-circuits the circuit on the condition that not less than a predetermined value and a control device for the control for releasing the short-circuited state of the short-circuit period is forcibly. 5"
2020,"It provides a highly reliable power conversion apparatus and a control method. According to one embodiment there is provided a power conversion apparatus including a main circuit unit and the voltage detecting and controlling circuit. Main circuit unit is connected to the AC power system of three-phase alternating-current power and performs power conversion of the three-phase alternating-current power. The voltage detector has a first and a second detection system, and acquires at least two voltage values ??of each phase of the AC power system. The control circuit controls the operation of the main circuit unit on the basis of each of the voltage value, the voltage detection unit obtained. The control circuit judges as normal unless the image minutes detected at both the first and second detection on the basis of the respective detection results of the system and detecting the image minutes occurrence of an AC power system, the first and second detection system first and determining a failure of a detection system of the said one side in a case where it is determined that the 1-wire grounding accident occurs when the image minutes detected at both of the two detection systems and the image minutes detected at one of the first and second detection system do. 1"
2020,Provide a current differential relay system comprising a plurality of the current differential relay device. A current differential relay device manages the control command outputted from the plurality of the protective control apparatus of the power system. A current differential relay system 1 is the protection of the connection with the external electric power system and the protected power system E at the terminals A ~ D. A current differential relay system 1 is composed of a current differential relay devices 21-24 and blocking device CB. The current differential relay devices 21-24 is provided with respect to the terminal A ~ D. The current differential relay devices 21-24 are arranged in a three wire cable that is a transmission path in a ring shape. And the current differential relay devices 21-24 is provided with a detection method switching unit 9 for switching the accident detection method in a power system E according to the abnormal detection unit 7 and sent over the transmission path to the abnormality detection of the transmission path. 1
2020,"(Oil modified) and set up stage of a loop or without using a route control by the L2SW connected to the loop to the communication line and provides a stable operation possible looped protective relay system. It has a relay terminal Ry1, the communication driver 11 for transmitting and receiving a communication port and NIC12 NIC13 the communication frame of a second line between the other relay station. Transmission processor 14 of the communication driver receives a communication frame from the relay terminal of the transmission before and after the same communication frame as the relay device and before and after the reception processing unit 15 through a communication port. Receiving processing unit is provided with a relay if necessary determining section 18 and the relay 19, the delivery unit. If it is determined that the relay is determined in that the relay necessity determining section receives the communication frame to the communication frame received through the communication port A side and transmitted to the communication port of the other side, and the relay sending unit relays the determined additional communication frames if the relay is required the repeater transmits a communication frame to the communication port. 2"
2020,"It is a grid-inverter device provided with a three-level inverter and the voltage detector and controller is provided. Three-level inverter having a plurality of switching elements, the DC power supply and is connected to the power system of the AC conversion into AC power, and AC power from the direct-current power by on-off power of the DC power supplied from the direct current power source, each switching device system to be supplied. Voltage detector detects an AC voltage of the power system. The control state in which the instantaneous voltage drop detection of the power system on the basis of the voltage detector a detection result, and the state does not detect an instantaneous voltage drop controls the respective switching elements by using a unipolar modulation method and detecting the instantaneous voltage drop in the die using a polar modulation scheme, and controls the conversion of the by controlling the respective switching elements, AC power from DC power by the three-level inverter. The suppressing switching loss Thereby stable operation of the system interconnection inverter device is provided."
