A,abstract
2020,"The specification relates to the remote meter reading system and the remote checking method which to solve the remote meter reading system and the remote checking method, using multiple masters to put it more concretely, the limit of the prior art, when the communications between the master device and the watthour meter modem, or more, the network connection between the master device and the information sharing are made the watthour meter modem performs the multiple master devices and communications occur, the communications becomes possible to the other master device in the world and the soft management which is quick in the change of the communications network between the watthour meter modem and the master device and is possible and uses multiple masters in which it has the effect building the network path communicating to the optimal communications performance."
2020,"Disclosed is the self power relay its method for preventing the malfunction. The self power relay of the present invention converts into the predetermined drive power level by using the system electricity of the electric line or the electric power system as the source power. In that way it operates with the self power generating unit and the drive power producing the drive power for its own. And the system electric energy of the electric line or the electric power system is measured and the system electricity transmitted to load is blocked in the trouble occurrence. By confirming the f including the relay operation part monitoring the source power change of the self power generating unit on a real time basis and ceases the relay operation of the itself and self power generating unit in the abnormal occurrence, and the unstable state of the voltage and the source current for producing the itself drive power malfunction can be prevented."
2019,"The present invention relates to the power supply device for the protective relay. The power supply device includes the first voltage drop device arranged between the second Node connected to the switching terminal of the semiconductor switch device, including the output terminal connected to the reference node and the first node, and above semiconductor switch element having the low power than the input terminal including the control CPU and the power supply circuit portion supplying power to the control CPU and the power supply circuit portion is connected to the first node in which the direct current is inputted. And the first node that control the connected breaker to the electric power system."
2019,"The present invention relates to the momentary current discriminator in the line of the electric power system and has the effect that comparing the restored instantaneous current value as described above it restores to the original instantaneous current value the analog voltage detected from the voltage detecting portion is converted into the digital voltage it is converted to on mode (Wake-up mode) the activation power which is generated uses the momentary current of each line of the voltage distribution part, voltage-dividing the voltage guiding part, which induces the voltage detects the momentary current in each line of the electric power system and the voltage induced from the voltage guiding part and multiple voltages and the voltage detecting portion, detecting the partial voltage from the voltage distribution part among voltage-divided voltages and the sleep mode state which the prescribed condition manages to the low power is provided with the set reference current value, the controller determining the cut off whether or not of line according to the result is included. In that way the momentary current is determined at high speed and it rapidly can manage about the instantaneous accident. And the various information about the fault current can be stored."
2019,"The present invention relates to the hierarchical power control system. The hierarchical power control system according to the embodiment of the present invention comprises the first ESS (Energy Storage System) equipped with the UPS (Uninterruptible Power Supply) structure as to the hierarchical power control system connected with the cloud server and the first microgrid cell including the first load in which the power state is managed by the first ESS, the second microgrid cell including the second ESS managing the power state of the second load and the second load, and the integrated control system which receives income and outgo of electric power status information of the third microgrid cell to make the first through the middleware server and the middleware server communicating with the third microgrid cell to make the third load the third microgrid cell which includes, and the first and formulates the integration driving schedule on income and outgo of electric power status information of the third microgrid cell to make the received first."
2019,"The present invention relates to the hierarchical power control system. In the hierarchical power control system which the hierarchical power control system is connected to the cloud server according to the working example of the present invention, the first communicate with the middleware server and the middleware server communicating with the third microgrid cell to make the third microgrid cell including the second microgrid cell including the second ESS managing the first ESS (Energy Storage System) taking the UPS (Uninterruptible Power Supply) structure and the first microgrid cell including the first load in which the power state is managed by the first ESS, and the power state of the second load and the second load, and the third load, and the first. The integrated control system which it unites income and outgo of electric power state of the third microgrid cell to make and controls the first is included. The first microgrid cell and the second microgrid cell are connected through the converter and electricity is circulated between reciprocity."
2019,The present invention relates to the electrical power system. The electrical power system according to the working example of the present invention is equipped with the first communications unit: second communications unit connected to the monitoring / control device and wire the communications device connects to the local area network between communications devices wire include the monitoring / control device sending and receives data of state information and control data of the power unit through the communications device it is connected to the power unit group: one or more communications device: communications device for consisting of the local area network with interconnection and wire including the power unit.
2019,"The power net monitoring system comprises slave device and data sharing method of multiple installed at the rest electric power substation except for the installed master unit, and the electric power substation in which the master unit is installed in one or more electric power substation among the multiple electric power substations. The master unit transmits data transmitted from slave device and data sharing method to corresponding slave device and data sharing method it analyzes and the analyzed result the command for the disposition of corresponding slave device and data sharing method is produced to the natural disposition."
2019,"The load included in the microgrid system by the working example of the present invention comprises case, load is added to the microgrid system constructed with the distributed power including one or more element generating electricity in advance, the prescribed load by types load pattern the first load pattern load data of load is measured and the first load pattern is drawn and the controller which runs the distributed power based on the comparison result after comparing."
2019,The grid connected inverter system according to a preferred embodiment of the present invention converts the DC power provided from the DC power source into the AC power. Multiple power electronic building block (Power Electronics Building Block) supplying the transformed AC power to the system the number of power electronic building block receiving the control commander from the power electronic building block group and the upper controller included and operates according to the control commanders are determined. The control signal for operating determined power electronic building blocks as much as the number can be transmitted in the corresponding power electronic building block.
