"","x"
"power",3525
"system",2982
"electr",2114
"control",1788
"voltag",1654
"current",1551
"signal",1336
"circuit",1304
"devic",1143
"oper",1134
"detect",1129
"connect",1050
"generat",976
"output",948
"provid",793
"data",787
"valu",739
"unit",711
"includ",701
"time",687
"mean",669
"suppli",655
"switch",610
"phase",584
"vehicl",553
"line",552
"invent",533
"input",529
"frequenc",523
"imag",513
"determin",493
"protect",487
"meter",468
"receiv",465
"load",464
"second",428
"measur",414
"method",411
"termin",407
"convert",387
"communic",365
"apparatus",356
"inform",350
"base",347
"state",343
"transmit",339
"relay",326
"monitor",324
"transform",324
"compon",320
"batteri",318
"grid",311
"network",309
"modul",306
"fault",305
"accord",302
"relat",302
"direct",301
"predetermin",300
"chang",297
"process",294
"sourc",292
"high",288
"invert",278
"compris",272
"transmiss",266
"present",264
"calcul",263
"distribut",259
"posit",255
"prevent",255
"plural",254
"accid",253
"amount",250
"open",249
"ground",244
"differ",242
"side",240
"puls",235
"element",230
"wire",230
"filter",227
"condit",225
"digit",225
"light",225
"sensor",222
"motor",221
"remot",221
"store",221
"harmon",220
"least",220
"step",214
"speed",208
"block",205
"type",205
"select",204
"inspect",201
"within",199
"function",193
"activ",192
"section",192
"breaker",191
"hous",191
"drive",190
"mode",190
"equip",189
"instal",188
"level",188
"limit",187
"mount",185
"flow",184
"effect",183
"order",183
"comput",178
"obtain",178
"display",177
"part",176
"cell",175
"command",175
"energi",174
"reduc",172
"altern",170
"failur",170
"automat",169
"detector",169
"capacitor",167
"contact",167
"number",167
"configur",165
"mechan",164
"bus",162
"gas",162
"main",162
"respect",162
"assembl",161
"perform",161
"integr",160
"compens",159
"reactiv",159
"synchron",159
"case",158
"electron",158
"result",154
"form",151
"low",151
"engin",150
"correct",149
"possibl",148
"station",147
"coupl",145
"test",144
"pressur",143
"arrang",142
"sens",141
"close",139
"charg",137
"refer",137
"short",137
"stabil",137
"indic",136
"locat",136
"remov",136
"period",134
"error",133
"portion",133
"respons",133
"addit",130
"sampl",130
"singl",130
"multipl",129
"panel",128
"storag",128
"correspond",127
"three",127
"without",127
"normal",126
"reliabl",124
"commerci",123
"improv",121
"manag",121
"occur",121
"rate",121
"variat",120
"member",119
"compar",118
"separ",118
"adjust",117
"rotat",116
"memori",115
"util",114
"convers",113
"increas",113
"lock",111
"associ",110
"connector",109
"demand",109
"temperatur",109
"brake",108
"link",108
"read",107
"requir",107
"safeti",107
"support",107
"stop",106
"variabl",106
"area",105
"secur",105
"wave",105
"coil",104
"enabl",104
"produc",104
"revers",104
"wind",104
"check",103
"channel",102
"interconnect",102
"rang",102
"allow",101
"fix",101
"wireless",101
"arc",99
"resist",99
"seri",99
"user",99
"combin",97
"semiconductor",97
"appli",96
"surfac",96
"primari",95
"transfer",95
"via",95
"constant",94
"cabl",93
"exceed",93
"fuel",92
"optic",92
"regul",92
"insul",91
"program",91
"caus",90
"parallel",90
"quantiti",90
"secondari",90
"start",90
"structur",90
"lower",89
"box",88
"characterist",88
"consum",88
"interfac",88
"mobil",88
"object",88
"cover",87
"trip",87
"central",86
"embodi",86
"made",86
"basi",84
"heat",84
"simul",84
"solar",84
"whether",84
"factor",83
"field",83
"intern",83
"zero",83
"air",82
"cycl",82
"discharg",82
"imped",81
"lead",81
"maximum",81
"carrier",80
"circuitri",80
"disclos",80
"amplifi",79
"andor",79
"conduct",79
"disconnect",79
"prefer",79
"server",79
"auxiliari",78
"conductor",78
"diod",78
"pass",78
"water",78
"analog",77
"exampl",77
"capabl",76
"due",76
"insert",76
"delay",75
"ignit",75
"movement",75
"path",75
"processor",75
"actuat",74
"angl",74
"design",74
"predict",74
"various",74
"access",73
"describ",72
"threshold",72
"clock",71
"common",71
"magnet",71
"sequenc",71
"size",71
"turn",71
"attach",70
"machin",70
"messag",70
"port",70
"amplitud",69
"capac",69
"consist",69
"continu",69
"cost",69
"extern",69
"target",69
"therebi",69
"malfunct",68
"neutral",68
"adapt",67
"bodi",67
"gate",67
"instantan",67
"reactor",67
"receptacl",67
"specif",67
"upper",67
"forward",66
"interrupt",66
"contain",65
"exist",65
"less",65
"place",65
"plate",65
"rectifi",65
"run",65
"shift",65
"carri",63
"driver",63
"lamp",63
"pre",63
"status",63
"third",63
"convent",62
"databas",62
"estim",62
"move",62
"problem",62
"standard",62
"upon",62
"alarm",61
"code",61
"dispos",61
"engag",61
"event",61
"creat",60
"distanc",60
"excit",60
"frame",60
"valv",60
"branch",59
"either",59
"minut",59
"plug",59
"request",59
"therefor",59
"consumpt",58
"hydraul",58
"isol",58
"node",58
"nois",58
"self",58
"turbin",58
"divid",57
"ratio",57
"waveform",57
"board",56
"character",56
"depend",56
"insid",56
"outsid",56
"radio",56
"suppress",56
"differenti",55
"servic",55
"wheel",55
"analysi",54
"door",54
"fundament",54
"non",54
"enter",53
"facil",53
"fuse",53
"real",53
"recept",53
"small",53
"accumul",52
"build",52
"effici",52
"instrument",52
"maintain",52
"disturb",51
"extract",51
"fluctuat",51
"modem",51
"plant",51
"resistor",51
"telemet",51
"center",50
"cut",50
"illumin",50
"potenti",50
"recoveri",50
"back",49
"bar",49
"electromagnet",49
"group",49
"initi",49
"key",49
"microprocessor",49
"pair",49
"collect",48
"desir",48
"earth",48
"induct",48
"seal",48
"starter",48
"total",48
"wherein",48
"follow",47
"movabl",47
"transistor",47
"algorithm",46
"forc",46
"leakag",46
"oscil",46
"space",46
"actual",45
"analyz",45
"certain",45
"core",45
"materi",45
"outlet",45
"serial",45
"transmitt",45
"drop",44
"interv",44
"steer",44
"bridg",43
"damag",43
"front",43
"hand",43
"island",43
"magnitud",43
"multi",43
"peak",43
"rapid",43
"sub",43
"work",43
"defin",42
"establish",42
"greater",42
"hold",42
"proper",42
"repres",42
"thereof",42
"vibrat",42
"wall",42
"accur",41
"along",41
"applic",41
"cabinet",41
"comparison",41
"gear",41
"logic",41
"paramet",41
"substanti",41
"adjac",40
"call",40
"deliv",40
"deviat",40
"extend",40
"identifi",40
"independ",40
"permit",40
"shaft",40
"simpl",40
"stabl",40
"stage",40
"thus",40
"transduc",40
"becom",39
"construct",39
"cross",39
"driven",39
"easili",39
"especi",39
"execut",39
"general",39
"interfer",39
"negat",39
"releas",39
"thyristor",39
"watt",39
"absolut",38
"chamber",38
"develop",38
"flexibl",38
"given",38
"implement",38
"individu",38
"internet",38
"minim",38
"opposit",38
"polar",38
"pole",38
"pump",38
"quick",38
"surg",38
"top",38
"avail",37
"bias",37
"decreas",37
"elimin",37
"emerg",37
"featur",37
"incid",37
"inject",37
"local",37
"presenc",37
"telephon",37
"warn",37
"address",36
"electrod",36
"latch",36
"minimum",36
"optim",36
"reach",36
"record",36
"automot",35
"compart",35
"coordin",35
"har",35
"instruct",35
"mainten",35
"manual",35
"mirror",35
"necessari",35
"proport",35
"substat",35
"tabl",35
"width",35
"window",35
"action",34
"appropri",34
"complet",34
"hour",34
"junction",34
"modifi",34
"portabl",34
"product",34
"region",34
"safe",34
"send",34
"site",34
"transient",34
"align",33
"coeffici",33
"combust",33
"cpu",33
"deriv",33
"dispers",33
"excess",33
"fluid",33
"loop",33
"packet",33
"pattern",33
"purpos",33
"reset",33
"simultan",33
"vari",33
"woman",33
"advantag",32
"antenna",32
"automobil",32
"averag",32
"content",32
"give",32
"screen",32
"around",31
"count",31
"gain",31
"gap",31
"headlight",31
"layer",31
"master",31
"observ",31
"overload",31
"sound",31
"suitabl",31
"thermal",31
"train",31
"volt",31
"advanc",30
"disabl",30
"incorpor",30
"replac",30
"save",30
"situat",30
"substrat",30
"sum",30
"trigger",30
"abnorm",29
"among",29
"brush",29
"capacit",29
"car",29
"facilit",29
"fiber",29
"fire",29
"length",29
"lever",29
"model",29
"precis",29
"reflect",29
"regist",29
"return",29
"spring",29
"track",29
"trailer",29
"art",28
"band",28
"chip",28
"conjunct",28
"express",28
"loss",28
"motion",28
"overcurr",28
"partial",28
"pipe",28
"rais",28
"rear",28
"shut",28
"vector",28
"avoid",27
"confirm",27
"degre",27
"edg",27
"employ",27
"ensur",27
"equal",27
"guard",27
"half",27
"higher",27
"long",27
"occurr",27
"pwm",27
"realiz",27
"rotor",27
"sensit",27
"watch",27
"beam",26
"full",26
"hole",26
"host",26
"manufactur",26
"option",26
"outer",26
"packag",26
"person",26
"reduct",26
"shield",26
"specifi",26
"subsystem",26
"success",26
"transit",26
"alert",25
"array",25
"destin",25
"dynam",25
"fit",25
"home",25
"identif",25
"inlet",25
"manner",25
"metal",25
"qualiti",25
"rail",25
"rout",25
"subject",25
"administr",24
"affect",24
"boost",24
"divis",24
"evalu",24
"guid",24
"handl",24
"leak",24
"liquid",24
"near",24
"perman",24
"prior",24
"reclos",24
"remain",24
"ring",24
"sever",24
"signific",24
"socket",24
"stator",24
"voic",24
"bed",23
"bird",23
"bottom",23
"built",23
"bypass",23
"compos",23
"deterior",23
"feedback",23
"moment",23
"net",23
"next",23
"piston",23
"regardless",23
"slot",23
"telecommun",23
"term",23
"typic",23
"across",22
"alloc",22
"attenu",22
"constitut",22
"crank",22
"electro",22
"emit",22
"enclosur",22
"fan",22
"four",22
"free",22
"modular",22
"multipli",22
"phone",22
"plan",22
"previous",22
"probe",22
"protocol",22
"retain",22
"rise",22
"segment",22
"similar",22
"transceiv",22
"wide",22
"acquir",21
"balanc",21
"cap",21
"compress",21
"counter",21
"damp",21
"dead",21
"easi",21
"energ",21
"face",21
"inner",21
"laser",21
"lightn",21
"match",21
"navig",21
"night",21
"overvoltag",21
"properti",21
"respond",21
"sent",21
"suffici",21
"tester",21
"timer",21
"video",21
"view",21
"abil",20
"accessori",20
"arrest",20
"best",20
"break",20
"condition",20
"cylind",20
"dedic",20
"defect",20
"durat",20
"electrostat",20
"exact",20
"exchang",20
"gaug",20
"influenc",20
"matrix",20
"passag",20
"pivot",20
"precomput",20
"print",20
"procedur",20
"shape",20
"softwar",20
"superconduct",20
"therein",20
"web",20
"accuraci",19
"button",19
"calibr",19
"cancel",19
"complex",19
"condens",19
"deactiv",19
"enhanc",19
"multiplex",19
"pad",19
"physic",19
"pickup",19
"prepar",19
"rippl",19
"special",19
"strip",19
"subscrib",19
"techniqu",19
"tow",19
"toward",19
"unnecessari",19
"wound",19
"aircraft",18
"bank",18
"barrier",18
"compani",18
"custom",18
"decis",18
"dielectr",18
"equival",18
"fall",18
"immedi",18
"inhibit",18
"interior",18
"introduc",18
"linear",18
"map",18
"offset",18
"page",18
"park",18
"piec",18
"recharg",18
"repeat",18
"technolog",18
"thereon",18
"tire",18
"tube",18
"wavelength",18
"aberr",17
"buffer",17
"card",17
"clip",17
"curv",17
"diagnost",17
"distort",17
"feed",17
"fep",17
"futur",17
"index",17
"induc",17
"interlock",17
"led",17
"medium",17
"nomin",17
"passeng",17
"peripher",17
"preset",17
"relationship",17
"restor",17
"rosewood",17
"satisfi",17
"scale",17
"schedul",17
"seat",17
"strain",17
"subtract",17
"usag",17
"waterwork",17
"agit",16
"alway",16
"apertur",16
"asynchron",16
"axi",16
"backup",16
"belt",16
"caviti",16
"collector",16
"column",16
"constraint",16
"discrimin",16
"doubl",16
"environ",16
"fulli",16
"household",16
"industri",16
"intend",16
"intermedi",16
"keep",16
"lan",16
"motorcycl",16
"oppos",16
"phenomenon",16
"pin",16
"programm",16
"project",16
"radiat",16
"recess",16
"recognit",16
"reserv",16
"retract",16
"scheme",16
"show",16
"solenoid",16
"solv",16
"spread",16
"static",16
"string",16
"surround",16
"wafer",16
"absorb",15
"act",15
"apart",15
"applianc",15
"auto",15
"boat",15
"chopper",15
"date",15
"degrad",15
"deploy",15
"exterior",15
"fail",15
"file",15
"foot",15
"inrush",15
"interpos",15
"judg",15
"optimum",15
"photovolta",15
"practic",15
"reactanc",15
"simplifi",15
"sleev",15
"solut",15
"standbi",15
"stud",15
"supplement",15
"therefrom",15
"truck",15
"vertic",15
"virtual",15
"visibl",15
"visual",15
"watthour",15
"weight",15
"year",15
"zone",15
"adder",14
"audio",14
"autom",14
"behind",14
"candid",14
"claim",14
"concern",14
"conveni",14
"conveyor",14
"cord",14
"deliveri",14
"die",14
"disk",14
"dissip",14
"dock",14
"duti",14
"enclos",14
"explos",14
"extens",14
"final",14
"inflat",14
"numer",14
"outag",14
"premis",14
"progress",14
"reson",14
"rush",14
"sequenti",14
"share",14
"stress",14
"suit",14
"accept",13
"armatur",13
"assum",13
"bolt",13
"cam",13
"carriag",13
"compressor",13
"concentr",13
"consider",13
"decod",13
"domain",13
"dual",13
"encod",13
"equat",13
"extra",13
"fabric",13
"flash",13
"heater",13
"import",13
"inductor",13
"intens",13
"invers",13
"judgment",13
"larger",13
"man",13
"must",13
"notifi",13
"pack",13
"per",13
"plane",13
"propos",13
"ramp",13
"residenti",13
"roof",13
"serv",13
"sinusoid",13
"smaller",13
"solid",13
"stand",13
"technic",13
"tool",13
"troubl",13
"trunk",13
"uniqu",13
"updat",13
"whole",13
"accommod",12
"acquisit",12
"although",12
"angular",12
"answer",12
"authent",12
"begin",12
"bring",12
"brought",12
"calorimet",12
"clamp",12
"clean",12
"clear",12
"compact",12
"composit",12
"cooper",12
"critic",12
"decoupl",12
"detach",12
"diagnos",12
"diagnosi",12
"diagram",12
"done",12
"drain",12
"duct",12
"elev",12
"flat",12
"fog",12
"fourth",12
"gps",12
"hing",12
"ident",12
"instant",12
"involv",12
"later",12
"left",12
"linkag",12
"mate",12
"micro",12
"npn",12
"onto",12
"overal",12
"pneumat",12
"price",12
"probabl",12
"promot",12
"propag",12
"proxim",12
"rack",12
"recent",12
"recogn",12
"resid",12
"selector",12
"shown",12
"spectrum",12
"spot",12
"squar",12
"symmetr",12
"tab",12
"taken",12
"tank",12
"thereto",12
"togeth",12
"tone",12
"tongu",12
"travel",12
"valid",12
"vane",12
"varieti",12
"verif",12
"wherebi",12
"add",11
"arbitrari",11
"atmospher",11
"attend",11
"bad",11
"basic",11
"captur",11
"cdma",11
"cellular",11
"clutch",11
"conduit",11
"contactor",11
"copi",11
"dimens",11
"disengag",11
"download",11
"econom",11
"embed",11
"expand",11
"femal",11
"gfci",11
"glass",11
"height",11
"imposs",11
"inspector",11
"interpret",11
"jako",11
"leg",11
"male",11
"meet",11
"narrow",11
"natur",11
"nut",11
"passiv",11
"patient",11
"play",11
"push",11
"reason",11
"redund",11
"relev",11
"repair",11
"rod",11
"rogowski",11
"room",11
"rotari",11
"satur",11
"sign",11
"sine",11
"slide",11
"slip",11
"smoke",11
"smooth",11
"spray",11
"superconductor",11
"superimpos",11
"telemetri",11
"tide",11
"traffic",11
"ventil",11
"verifi",11
"weather",11
"accident",10
"acoust",10
"adaptor",10
"airbag",10
"articl",10
"assign",10
"bead",10
"bulb",10
"busi",10
"chassi",10
"client",10
"convey",10
"correl",10
"coupler",10
"cyclic",10
"difficult",10
"edit",10
"enforc",10
"exclus",10
"exhaust",10
"expect",10
"fast",10
"fet",10
"fifth",10
"fig",10
"fill",10
"fixtur",10
"furthermor",10
"graphic",10
"haeryeol",10
"hammer",10
"histori",10
"holder",10
"idl",10
"interact",10
"joint",10
"kinet",10
"label",10
"lid",10
"life",10
"list",10
"mani",10
"manipul",10
"miniatur",10
"modal",10
"month",10
"mutual",10
"onoff",10
"orient",10
"origin",10
"orthogon",10
"pedal",10
"potentiomet",10
"preregul",10
"public",10
"pull",10
"reader",10
"readili",10
"reservoir",10
"rest",10
"shed",10
"shock",10
"sink",10
"sort",10
"spool",10
"sudden",10
"tap",10
"task",10
"transport",10
"unbal",10
"write",10
"acceler",9
"account",9
"amend",9
"anti",9
"approxim",9
"arm",9
"assumpt",9
"bandpass",9
"bond",9
"booster",9
"bowl",9
"circular",9
"coat",9
"coffe",9
"comb",9
"complianc",9
"consid",9
"contribut",9
"corros",9
"countri",9
"damper",9
"didt",9
"disc",9
"dispens",9
"distinguish",9
"erron",9
"expens",9
"extinguish",9
"fed",9
"floor",9
"fold",9
"freedom",9
"friction",9
"gase",9
"gene",9
"gis",9
"groov",9
"hardwar",9
"hazard",9
"held",9
"hydrogen",9
"infrar",9
"jeonjeryang",9
"known",9
"latenc",9
"lighter",9
"modif",9
"overlap",9
"oxygen",9
"partit",9
"past",9
"pcm",9
"peg",9
"plc",9
"polyphas",9
"press",9
"prioriti",9
"radial",9
"rectangular",9
"regard",9
"report",9
"resolv",9
"retriev",9
"revolut",9
"rst",9
"satellit",9
"scr",9
"search",9
"shorter",9
"spark",9
"steam",9
"still",9
"templat",9
"theft",9
"torqu",9
"warm",9
"whose",9
"withdraw",9
"adher",8
"ambient",8
"appear",8
"audibl",8
"author",8
"beforehand",8
"bidirect",8
"blackout",8
"blade",8
"burn",8
"charact",8
"charger",8
"chop",8
"classifi",8
"closur",8
"cool",8
"densiti",8
"deposit",8
"disast",8
"discret",8
"dri",8
"elast",8
"electromechan",8
"entri",8
"fasten",8
"fbb",8
"float",8
"fourier",8
"fub",8
"global",8
"heavi",8
"hermet",8
"instead",8
"intak",8
"item",8
"jack",8
"locomot",8
"mcu",8
"microstructur",8
"middl",8
"neuro",8
"notif",8
"organ",8
"passageway",8
"perpendicular",8
"pinion",8
"prescrib",8
"princip",8
"reciproc",8
"reflector",8
"relai",8
"repetit",8
"rich",8
"risk",8
"row",8
"rule",8
"shade",8
"sheet",8
"shifter",8
"sleep",8
"snap",8
"steadi",8
"subassembl",8
"sun",8
"supervisori",8
"systempow",8
"tail",8
"team",8
"temporarili",8
"therebetween",8
"thin",8
"toilet",8
"trap",8
"tune",8
"unbalanc",8
"vessel",8
"vin",8
"violat",8
"voltmet",8
"weld",8
"absenc",7
"affix",7
"agent",7
"aim",7
"alreadi",7
"amr",7
"annunci",7
"approach",7
"approv",7
"arpc",7
"arriv",7
"artifici",7
"bandwidth",7
"belong",7
"bga",7
"bill",7
"boundari",7
"burden",7
"burst",7
"circl",7
"cmc",7
"coaxial",7
"color",7
"crash",7
"cup",7
"danger",7
"definit",7
"demodul",7
"depress",7
"descript",7
"displac",7
"dsp",7
"dummi",7
"electroluminesc",7
"electromobil",7
"elong",7
"emitt",7
"encapsul",7
"escap",7
"except",7
"expos",7
"extent",7
"fft",7
"film",7
"former",7
"fri",7
"guarante",7
"hereinaft",7
"hose",7
"hotwir",7
"hub",7
"imit",7
"impos",7
"incom",7
"insur",7
"interchang",7
"interf",7
"jumper",7
"layout",7
"learn",7
"live",7
"liver",7
"lobe",7
"longer",7
"lost",7
"machineri",7
"mark",7
"mask",7
"maxim",7
"microbiolog",7
"microcomput",7
"mosfet",7
"name",7
"not",7
"notic",7
"ohmic",7
"otherwis",7
"outdoor",7
"overrid",7
"pager",7
"paint",7
"parti",7
"pcb",7
"pitch",7
"placement",7
"prime",7
"profit",7
"protector",7
