"","x"
"power",1377
"system",643
"control",597
"voltag",550
"current",420
"valu",409
"unit",356
"output",316
"generat",304
"devic",293
"oper",292
"detect",251
"time",245
"electr",222
"circuit",221
"protect",195
"connect",185
"provid",178
"calcul",176
"second",175
"data",174
"signal",169
"convert",164
"suppli",164
"determin",163
"input",163
"grid",158
"base",141
"phase",137
"relay",136
"switch",130
"state",126
"invert",115
"charg",114
"frequenc",113
"inform",112
"section",111
"process",110
"measur",105
"chang",103
"apparatus",100
"storag",99
"reactiv",96
"amount",93
"command",93
"monitor",92
"side",91
"line",90
"digit",89
"load",88
"wind",83
"includ",82
"accord",80
"direct",80
"convers",77
"suppress",76
"differ",74
"rate",74
"batteri",73
"sampl",72
"discharg",70
"obtain",69
"mean",68
"predetermin",67
"effect",65
"period",65
"accid",63
"breaker",63
"bus",63
"termin",63
"drive",62
"least",61
"capacitor",60
"limit",60
"plural",60
"solar",60
"secondari",59
"differenti",58
"three",56
"transmiss",56
"flow",55
"display",54
"store",54
"transform",54
"correct",53
"condit",52
"open",52
"failur",51
"distribut",49
"turbin",49
"communic",48
"cell",47
"receiv",46
"threshold",46
"basi",45
"equip",44
"result",44
"rotat",44
"activ",43
"case",43
"energi",43
"step",43
"synchron",43
"rang",42
"seri",42
"third",42
"compon",41
"correspond",41
"estim",41
"detector",40
"element",40
"mode",40
"instantan",39
"prevent",39
"sourc",39
"node",38
"occur",38
"target",38
"function",37
"respect",37
"configur",35
"fault",35
"low",35
"number",35
"whether",35
"capabl",34
"group",34
"requir",34
"high",33
"hydraul",33
"motor",33
"stop",33
"averag",32
"close",32
"commerci",32
"extern",32
"manag",32
"posit",31
"return",31
"amplitud",30
"contact",30
"normal",30
"quantiti",30
"analog",29
"demand",29
"part",29
"possibl",29
"present",29
"smooth",29
"test",29
"variat",29
"compens",28
"instal",28
"order",28
"reduc",28
"screen",28
"vector",28
"indic",27
"lower",27
"method",27
"perform",27
"portion",27
"relat",27
"user",27
"associ",26
"compris",26
"extract",26
"filter",26
"increas",26
"main",26
"primari",26
"speed",26
"sub",26
"without",26
"addit",24
"ground",24
"acquir",23
"feed",23
"harmon",23
"instruct",23
"maintain",23
"minut",23
"refer",23
"updat",23
"adjust",22
"block",22
"decreas",21
"error",21
"factor",21
"interconnect",21
"invent",21
"network",21
"repres",21
"rotor",21
"transmit",21
"wire",21
"compar",20
"continu",20
"execut",20
"magnet",20
"meter",20
"parallel",20
"start",20
"windmil",20
"caus",19
"comput",19
"delay",19
"object",19
"pass",19
"tabl",19
"upper",19
"abnorm",18
"appli",18
"gaug",18
"reliabl",18
"request",18
"server",18
"singl",18
"waveform",18
"art",17
"exceed",17
"pump",17
"rout",17
"select",17
"smart",17
"station",17
"valv",17
"address",16
"allow",16
"bar",16
"cycl",16
"defin",16
"deviat",16
"fluctuat",16
"imped",16
"inject",16
"maximum",16
"purpos",16
"pwm",16
"revers",16
"short",16
"stabil",16
"total",16
"access",15
"authent",15
"capac",15
"characterist",15
"distanc",15
"event",15
"improv",15
"logic",15
"minimum",15
"phasor",15
"recoveri",15
"renew",15
"satisfi",15
"temperatur",15
"type",15
"acquisit",14
"channel",14
"coil",14
"convent",14
"electron",14
"enabl",14
"level",14
"non",14
"ratio",14
"svc",14
"vehicl",14
"accumul",13
"altern",13
"constant",13
"decis",13
"flux",13
"link",13
"region",13
"remot",13
"remov",13
"smaller",13
"specifi",13
"therebi",13
"variabl",13
"water",13
"within",13
"area",12
"assum",12
"becom",12
"bypass",12
"cost",12
"creat",12
"develop",12
"due",12
"easili",12
"effici",12
"fundament",12
"given",12
"imag",12
"less",12
"memori",12
"merg",12
"path",12
"pitch",12
"produc",12
"record",12
"residu",12
"save",12
"sensor",12
"string",12
"year",12
"zero",12
"adjac",11
"common",11
"degre",11
"dose",11
"field",11
"greater",11
"hot",11
"inhibit",11
"inhibitori",11
"machin",11
"plant",11
"prior",11
"qualiti",11
"rectifi",11
"status",11
"transduc",11
"trip",11
"via",11
"advanc",10
"air",10
"among",10
"angl",10
"avail",10
"comparison",10
"condition",10
"gas",10
"gate",10
"induc",10
"malfunct",10
"nmu",10
"observ",10
"packet",10
"paramet",10
"pre",10
"pressur",10
"reach",10
"read",10
"reduct",10
"respons",10
"scenario",10
"sequenc",10
"size",10
"softwar",10
"wave",10
"work",10
"arm",9
"avoid",9
"bird",9
"bodi",9
"degrad",9
"diod",9
"engin",9
"fuel",9
"histori",9
"incid",9
"instrument",9
"integr",9
"intermedi",9
"maejeon",9
"master",9
"modul",9
"move",9
"negat",9
"offset",9
"processor",9
"quick",9
"radiat",9
"run",9
"semiconductor",9
"sensit",9
"shift",9
"top",9
"train",9
"accur",8
"auxiliari",8
"back",8
"balanc",8
"button",8
"claim",8
"coeffici",8
"collect",8
"conduct",8
"constitut",8
"depend",8
"deriv",8
"diagram",8
"disast",8
"displac",8
"emerg",8
"fuse",8
"haeryeol",8
"hous",8
"ino",8
"judg",8
"map",8
"match",8
"model",8
"optim",8
"predict",8
"real",8
"regul",8
"sequenti",8
"simul",8
"symbol",8
"tasang",8
"thereof",8
"torqu",8
"vth",8
"write",8
"absolut",7
"actuat",7
"automat",7
"backup",7
"board",7
"build",7
"combin",7
"condens",7
"counter",7
"databas",7
"defect",7
"dispers",7
"driven",7
"drop",7
"establish",7
"excess",7
"fix",7
"follow",7
"gain",7
"hmi",7
"intern",7
"local",7
"mainten",7
"natur",7
"neutral",7
"occurr",7
"outsid",7
"pattern",7
"person",7
"polar",7
"precis",7
"puls",7
"rank",7
"realiz",7
"redund",7
"revolut",7
