"","x"
"power",1341
"control",774
"system",765
"unit",511
"voltag",443
"devic",421
"output",412
"current",406
"oper",356
"valu",332
"detect",327
"mean",292
"generat",268
"provid",268
"time",262
"circuit",257
"inform",242
"electr",223
"data",221
"convert",213
"protect",198
"calcul",196
"connect",193
"monitor",182
"suppli",180
"determin",172
"relay",172
"second",172
"signal",170
"batteri",166
"phase",166
"charg",148
"apparatus",147
"base",145
"amount",137
"command",137
"storag",136
"frequenc",135
"switch",135
"grid",132
"measur",125
"input",120
"plural",119
"communic",114
"reactiv",107
"accid",105
"harmon",99
"invert",98
"accord",97
"display",97
"includ",95
"section",94
"direct",92
"discharg",91
"chang",90
"convers",89
"load",89
"obtain",88
"breaker",87
"suppress",87
"compon",85
"detector",83
"transmiss",81
"state",79
"predetermin",77
"process",76
"type",76
"receiv",75
"termin",75
"digit",73
"equip",72
"line",70
"side",69
"embodi",68
"basi",67
"quantiti",66
"store",66
"synchron",66
"element",65
"high",64
"demand",62
"comput",61
"flow",61
"respect",61
"transmit",61
"select",58
"cell",57
"differ",57
"estim",57
"short",57
"transform",56
"adjust",55
"compens",55
"function",55
"target",55
"block",54
"stabil",54
"condit",53
"least",52
"method",52
"failur",51
"altern",50
"limit",50
"requir",50
"self",50
"period",49
"refer",49
"bus",48
"energi",48
"consumpt",47
"test",47
"distribut",46
"effect",45
"secondari",45
"solar",45
"start",45
"capac",44
"open",44
"correct",43
"possibl",43
"server",43
"three",41
"key",40
"stop",40
"variat",40
"magnet",39
"occur",39
"pressur",39
"sampl",39
"singl",39
"drive",38
"invent",38
"modul",38
"reduc",38
"analog",37
"excit",37
"indic",37
"meter",37
"network",37
"part",37
"result",37
"acquir",36
"present",36
"speed",36
"waveform",36
"low",35
"model",35
"perform",35
"without",35
"gate",34
"main",34
"portion",34
"rang",34
"rate",34
"sourc",34
"capacitor",33
"compris",33
"request",33
"effici",32
"correspond",31
"creat",31
"fault",31
"imped",31
"prevent",31
"whether",31
"configur",30
"smart",30
"maximum",29
"status",29
"valv",29
"activ",28
"authent",28
"instal",28
"manag",28
"number",28
"ground",27
"level",27
"case",26
"differenti",26
"extract",26
"fuel",26
"via",26
"capabl",25
"filter",25
"group",25
"threshold",25
"close",24
"databas",24
"field",24
"match",24
"predict",24
"facil",23
"frame",23
"posit",23
"third",23
"wave",23
"addit",22
"collect",22
"hydrogen",22
"messag",22
"resist",22
"art",21
"board",21
"delay",21
"instruct",21
"potenti",21
